condition,record_type,original_description,embedding_prompt,token_ids,decoded_tokens,selected_token_id,selected_token,selected_token_position,token_count_with_special_tokens,model_max_length,truncation_occurred
fixed_suffix,description,Dense copper hair blending into autumn leaves defines a slender twilight forager.,Dense copper hair blending into autumn leaves defines a slender twilight forager. This sentence describes the concept,"[49406, 19353, 10333, 2225, 34307, 1095, 6110, 5579, 28218, 320, 40331, 14512, 645, 10443, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""dense</w>"", ""copper</w>"", ""hair</w>"", ""blending</w>"", ""into</w>"", ""autumn</w>"", ""leaves</w>"", ""defines</w>"", ""a</w>"", ""slender</w>"", ""twilight</w>"", ""for"", ""ager</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,19,21,77,False
fixed_suffix,description,A heavy black coat covering broad shoulders identifies a towering honey seeker.,A heavy black coat covering broad shoulders identifies a towering honey seeker. This sentence describes the concept,"[49406, 320, 4200, 1449, 7356, 9462, 12623, 18738, 35712, 320, 39444, 6406, 28011, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""a</w>"", ""heavy</w>"", ""black</w>"", ""coat</w>"", ""covering</w>"", ""broad</w>"", ""shoulders</w>"", ""identifies</w>"", ""a</w>"", ""towering</w>"", ""honey</w>"", ""seeker</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,18,20,77,False
fixed_suffix,description,A pale-muzzled pack sentinel reveals dense silver-brown fur suited to winter.,A pale-muzzled pack sentinel reveals dense silver-brown fur suited to winter. This sentence describes the concept,"[49406, 320, 12518, 268, 670, 39075, 3420, 23123, 6621, 19353, 3467, 268, 2866, 9686, 25919, 531, 2541, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""a</w>"", ""pale</w>"", ""-</w>"", ""mu"", ""zzled</w>"", ""pack</w>"", ""sentinel</w>"", ""reveals</w>"", ""dense</w>"", ""silver</w>"", ""-</w>"", ""brown</w>"", ""fur</w>"", ""suited</w>"", ""to</w>"", ""winter</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,22,24,77,False
fixed_suffix,description,A finely detailed garden nibbler shows smooth tan hair above a pale belly.,A finely detailed garden nibbler shows smooth tan hair above a pale belly. This sentence describes the concept,"[49406, 320, 46120, 12609, 2756, 697, 65, 11979, 2665, 8990, 5039, 2225, 4348, 320, 12518, 10404, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""a</w>"", ""finely</w>"", ""detailed</w>"", ""garden</w>"", ""ni"", ""b"", ""bler</w>"", ""shows</w>"", ""smooth</w>"", ""tan</w>"", ""hair</w>"", ""above</w>"", ""a</w>"", ""pale</w>"", ""belly</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,21,23,77,False
fixed_suffix,description,A branch-antlered visitor shows a smooth reddish-brown summer coat.,A branch-antlered visitor shows a smooth reddish-brown summer coat. This sentence describes the concept,"[49406, 320, 7998, 268, 1103, 534, 736, 13881, 2665, 320, 8990, 43383, 268, 2866, 1673, 7356, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""a</w>"", ""branch</w>"", ""-</w>"", ""ant"", ""le"", ""red</w>"", ""visitor</w>"", ""shows</w>"", ""a</w>"", ""smooth</w>"", ""reddish</w>"", ""-</w>"", ""brown</w>"", ""summer</w>"", ""coat</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,21,23,77,False
fixed_suffix,description,Smooth black hair with a white facial blaze defines a bridled stable companion.,Smooth black hair with a white facial blaze defines a bridled stable companion. This sentence describes the concept,"[49406, 8990, 1449, 2225, 593, 320, 1579, 11909, 15497, 28218, 320, 16995, 912, 10492, 14963, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""smooth</w>"", ""black</w>"", ""hair</w>"", ""with</w>"", ""a</w>"", ""white</w>"", ""facial</w>"", ""blaze</w>"", ""defines</w>"", ""a</w>"", ""brid"", ""led</w>"", ""stable</w>"", ""companion</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,20,22,77,False
fixed_suffix,description,"Within a misty hillside, purring room-explorer demonstrates a smooth black coat reflecting window light.","Within a misty hillside, purring room-explorer demonstrates a smooth black coat reflecting window light. This sentence describes the concept","[49406, 4154, 320, 18799, 37194, 267, 1727, 2540, 1530, 268, 15776, 24806, 320, 8990, 1449, 7356, 19700, 4879, 1395, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""within</w>"", ""a</w>"", ""misty</w>"", ""hillside</w>"", "",</w>"", ""pur"", ""ring</w>"", ""room</w>"", ""-</w>"", ""explorer</w>"", ""demonstrates</w>"", ""a</w>"", ""smooth</w>"", ""black</w>"", ""coat</w>"", ""reflecting</w>"", ""window</w>"", ""light</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,24,26,77,False
fixed_suffix,description,"Within a patch of dense brush, wagging household-companion demonstrates a shaggy gray coat around the shoulders.","Within a patch of dense brush, wagging household-companion demonstrates a shaggy gray coat around the shoulders. This sentence describes the concept","[49406, 4154, 320, 8721, 539, 19353, 8594, 267, 5764, 3905, 12412, 268, 14963, 24806, 320, 42662, 7048, 7356, 1630, 518, 18738, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""within</w>"", ""a</w>"", ""patch</w>"", ""of</w>"", ""dense</w>"", ""brush</w>"", "",</w>"", ""wag"", ""ging</w>"", ""household</w>"", ""-</w>"", ""companion</w>"", ""demonstrates</w>"", ""a</w>"", ""shaggy</w>"", ""gray</w>"", ""coat</w>"", ""around</w>"", ""the</w>"", ""shoulders</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,26,28,77,False
fixed_suffix,description,Red-coated woodland-hunter displays warm russet fur beneath a pale throat beside a rocky meadow.,Red-coated woodland-hunter displays warm russet fur beneath a pale throat beside a rocky meadow. This sentence describes the concept,"[49406, 736, 268, 23401, 17447, 268, 6099, 15648, 3616, 35811, 1167, 9686, 16850, 320, 12518, 16371, 13519, 320, 9648, 17195, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""red</w>"", ""-</w>"", ""coated</w>"", ""woodland</w>"", ""-</w>"", ""hunter</w>"", ""displays</w>"", ""warm</w>"", ""rus"", ""set</w>"", ""fur</w>"", ""beneath</w>"", ""a</w>"", ""pale</w>"", ""throat</w>"", ""beside</w>"", ""a</w>"", ""rocky</w>"", ""meadow</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,25,27,77,False
fixed_suffix,description,Thick cinnamon-colored hair across the torso distinguishes long-clawed wilderness-resident near a shaded woodland edge.,Thick cinnamon-colored hair across the torso distinguishes long-clawed wilderness-resident near a shaded woodland edge. This sentence describes the concept,"[49406, 11006, 13460, 268, 11775, 2225, 2500, 518, 937, 706, 15053, 2502, 1538, 268, 940, 3478, 16506, 268, 9016, 2252, 320, 43506, 17447, 5461, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""thick</w>"", ""cinnamon</w>"", ""-</w>"", ""colored</w>"", ""hair</w>"", ""across</w>"", ""the</w>"", ""tor"", ""so</w>"", ""distingui"", ""shes</w>"", ""long</w>"", ""-</w>"", ""cla"", ""wed</w>"", ""wilderness</w>"", ""-</w>"", ""resident</w>"", ""near</w>"", ""a</w>"", ""shaded</w>"", ""woodland</w>"", ""edge</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,29,31,77,False
fixed_suffix,description,Broad-pawed northern pack tracker displays a layered gray coat with pale guard hairs beside scattered autumn leaves.,Broad-pawed northern pack tracker displays a layered gray coat with pale guard hairs beside scattered autumn leaves. This sentence describes the concept,"[49406, 12623, 268, 765, 3478, 5049, 3420, 18123, 15648, 320, 28520, 7048, 7356, 593, 12518, 4901, 27951, 13519, 22090, 6110, 5579, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""broad</w>"", ""-</w>"", ""pa"", ""wed</w>"", ""northern</w>"", ""pack</w>"", ""tracker</w>"", ""displays</w>"", ""a</w>"", ""layered</w>"", ""gray</w>"", ""coat</w>"", ""with</w>"", ""pale</w>"", ""guard</w>"", ""hairs</w>"", ""beside</w>"", ""scattered</w>"", ""autumn</w>"", ""leaves</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,26,28,77,False
fixed_suffix,description,"Beside a sunlit garden path, long-eared meadow grazer reveals velvety gray fur around a bright white tail.","Beside a sunlit garden path, long-eared meadow grazer reveals velvety gray fur around a bright white tail. This sentence describes the concept","[49406, 13519, 320, 968, 4350, 2756, 5035, 267, 1538, 268, 9127, 17195, 782, 3716, 6621, 37849, 744, 7048, 9686, 1630, 320, 4852, 1579, 4132, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""beside</w>"", ""a</w>"", ""sun"", ""lit</w>"", ""garden</w>"", ""path</w>"", "",</w>"", ""long</w>"", ""-</w>"", ""eared</w>"", ""meadow</w>"", ""gra"", ""zer</w>"", ""reveals</w>"", ""velve"", ""ty</w>"", ""gray</w>"", ""fur</w>"", ""around</w>"", ""a</w>"", ""bright</w>"", ""white</w>"", ""tail</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,29,31,77,False
fixed_suffix,description,Antlered woodland browser displays dark brown hair along a lighter throat patch beside a shaded woodland edge.,Antlered woodland browser displays dark brown hair along a lighter throat patch beside a shaded woodland edge. This sentence describes the concept,"[49406, 1103, 534, 736, 17447, 19768, 15648, 3144, 2866, 2225, 2528, 320, 14102, 16371, 8721, 13519, 320, 43506, 17447, 5461, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""ant"", ""le"", ""red</w>"", ""woodland</w>"", ""browser</w>"", ""displays</w>"", ""dark</w>"", ""brown</w>"", ""hair</w>"", ""along</w>"", ""a</w>"", ""lighter</w>"", ""throat</w>"", ""patch</w>"", ""beside</w>"", ""a</w>"", ""shaded</w>"", ""woodland</w>"", ""edge</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,25,27,77,False
fixed_suffix,description,Broad-chested stable resident displays smooth black hair with a white facial blaze beside a patch of dense brush.,Broad-chested stable resident displays smooth black hair with a white facial blaze beside a patch of dense brush. This sentence describes the concept,"[49406, 12623, 268, 983, 1356, 10492, 9016, 15648, 8990, 1449, 2225, 593, 320, 1579, 11909, 15497, 13519, 320, 8721, 539, 19353, 8594, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""broad</w>"", ""-</w>"", ""che"", ""sted</w>"", ""stable</w>"", ""resident</w>"", ""displays</w>"", ""smooth</w>"", ""black</w>"", ""hair</w>"", ""with</w>"", ""a</w>"", ""white</w>"", ""facial</w>"", ""blaze</w>"", ""beside</w>"", ""a</w>"", ""patch</w>"", ""of</w>"", ""dense</w>"", ""brush</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,27,29,77,False
fixed_suffix,description,"Beside a calm farmyard, purring room-explorer reveals dense velvet-like fur across the back; the viewpoint remains level.","Beside a calm farmyard, purring room-explorer reveals dense velvet-like fur across the back; the viewpoint remains level. This sentence describes the concept","[49406, 13519, 320, 7011, 1578, 1152, 746, 267, 1727, 2540, 1530, 268, 15776, 6621, 19353, 11063, 268, 789, 9686, 2500, 518, 893, 282, 518, 41604, 6807, 2931, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""beside</w>"", ""a</w>"", ""calm</w>"", ""far"", ""my"", ""ard</w>"", "",</w>"", ""pur"", ""ring</w>"", ""room</w>"", ""-</w>"", ""explorer</w>"", ""reveals</w>"", ""dense</w>"", ""velvet</w>"", ""-</w>"", ""like</w>"", ""fur</w>"", ""across</w>"", ""the</w>"", ""back</w>"", "";</w>"", ""the</w>"", ""viewpoint</w>"", ""remains</w>"", ""level</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,32,34,77,False
fixed_suffix,description,"A clear view shows wet-nosed trail-helper with a shaggy gray coat around the shoulders, as ground contact stays clear.","A clear view shows wet-nosed trail-helper with a shaggy gray coat around the shoulders, as ground contact stays clear. This sentence describes the concept","[49406, 320, 3143, 1093, 2665, 6682, 268, 578, 1252, 4921, 268, 29321, 593, 320, 42662, 7048, 7356, 1630, 518, 18738, 267, 601, 2461, 3523, 13311, 3143, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""a</w>"", ""clear</w>"", ""view</w>"", ""shows</w>"", ""wet</w>"", ""-</w>"", ""no"", ""sed</w>"", ""trail</w>"", ""-</w>"", ""helper</w>"", ""with</w>"", ""a</w>"", ""shaggy</w>"", ""gray</w>"", ""coat</w>"", ""around</w>"", ""the</w>"", ""shoulders</w>"", "",</w>"", ""as</w>"", ""ground</w>"", ""contact</w>"", ""stays</w>"", ""clear</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,31,33,77,False
fixed_suffix,description,"Narrow-muzzled dusk-prowler becomes recognizable through warm russet fur beneath a pale throat, while the setting supports the behavior.","Narrow-muzzled dusk-prowler becomes recognizable through warm russet fur beneath a pale throat, while the setting supports the behavior. This sentence describes the concept","[49406, 16652, 268, 670, 39075, 19708, 268, 38737, 1803, 6766, 47240, 1417, 3616, 35811, 1167, 9686, 16850, 320, 12518, 16371, 267, 1519, 518, 5264, 8336, 518, 10461, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""narrow</w>"", ""-</w>"", ""mu"", ""zzled</w>"", ""dusk</w>"", ""-</w>"", ""prow"", ""ler</w>"", ""becomes</w>"", ""recognizable</w>"", ""through</w>"", ""warm</w>"", ""rus"", ""set</w>"", ""fur</w>"", ""beneath</w>"", ""a</w>"", ""pale</w>"", ""throat</w>"", "",</w>"", ""while</w>"", ""the</w>"", ""setting</w>"", ""supports</w>"", ""the</w>"", ""behavior</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,32,34,77,False
fixed_suffix,description,"Round-eared timberland-giant carries a heavy black coat covering broad shoulders across a narrow riverside path; meanwhile, the viewpoint remains level.","Round-eared timberland-giant carries a heavy black coat covering broad shoulders across a narrow riverside path; meanwhile, the viewpoint remains level. This sentence describes the concept","[49406, 2522, 268, 9127, 14441, 973, 268, 4687, 17982, 320, 4200, 1449, 7356, 9462, 12623, 18738, 2500, 320, 16652, 15809, 5035, 282, 9650, 267, 518, 41604, 6807, 2931, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""round</w>"", ""-</w>"", ""eared</w>"", ""timber"", ""land</w>"", ""-</w>"", ""giant</w>"", ""carries</w>"", ""a</w>"", ""heavy</w>"", ""black</w>"", ""coat</w>"", ""covering</w>"", ""broad</w>"", ""shoulders</w>"", ""across</w>"", ""a</w>"", ""narrow</w>"", ""riverside</w>"", ""path</w>"", "";</w>"", ""meanwhile</w>"", "",</w>"", ""the</w>"", ""viewpoint</w>"", ""remains</w>"", ""level</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,33,35,77,False
fixed_suffix,description,"Against an open grassy clearing, dense silver-brown fur suited to winter defines long-legged forest tracker; ground contact stays clear.","Against an open grassy clearing, dense silver-brown fur suited to winter defines long-legged forest tracker; ground contact stays clear. This sentence describes the concept","[49406, 1601, 550, 1488, 44140, 15481, 267, 19353, 3467, 268, 2866, 9686, 25919, 531, 2541, 28218, 1538, 268, 25830, 4167, 18123, 282, 2461, 3523, 13311, 3143, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""against</w>"", ""an</w>"", ""open</w>"", ""grassy</w>"", ""clearing</w>"", "",</w>"", ""dense</w>"", ""silver</w>"", ""-</w>"", ""brown</w>"", ""fur</w>"", ""suited</w>"", ""to</w>"", ""winter</w>"", ""defines</w>"", ""long</w>"", ""-</w>"", ""legged</w>"", ""forest</w>"", ""tracker</w>"", "";</w>"", ""ground</w>"", ""contact</w>"", ""stays</w>"", ""clear</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,31,33,77,False
fixed_suffix,description,"Beside a shaded woodland edge, small hopping burrow forager reveals smooth tan hair above a pale belly; the setting supports the behavior.","Beside a shaded woodland edge, small hopping burrow forager reveals smooth tan hair above a pale belly; the setting supports the behavior. This sentence describes the concept","[49406, 13519, 320, 43506, 17447, 5461, 267, 2442, 27606, 1039, 1044, 645, 10443, 6621, 8990, 5039, 2225, 4348, 320, 12518, 10404, 282, 518, 5264, 8336, 518, 10461, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""beside</w>"", ""a</w>"", ""shaded</w>"", ""woodland</w>"", ""edge</w>"", "",</w>"", ""small</w>"", ""hopping</w>"", ""bur"", ""row</w>"", ""for"", ""ager</w>"", ""reveals</w>"", ""smooth</w>"", ""tan</w>"", ""hair</w>"", ""above</w>"", ""a</w>"", ""pale</w>"", ""belly</w>"", "";</w>"", ""the</w>"", ""setting</w>"", ""supports</w>"", ""the</w>"", ""behavior</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,32,34,77,False
fixed_suffix,description,"Within a misty hillside, slender-legged forest grazer demonstrates coarse gray winter hair above a pale rump, where its full body stays visible.","Within a misty hillside, slender-legged forest grazer demonstrates coarse gray winter hair above a pale rump, where its full body stays visible. This sentence describes the concept","[49406, 4154, 320, 18799, 37194, 267, 40331, 268, 25830, 4167, 782, 3716, 24806, 622, 22665, 7048, 2541, 2225, 4348, 320, 12518, 29366, 267, 1234, 902, 1476, 1774, 13311, 8626, 269, 589, 12737, 13678, 518, 6353, 49407]","[""<|startoftext|>"", ""within</w>"", ""a</w>"", ""misty</w>"", ""hillside</w>"", "",</w>"", ""slender</w>"", ""-</w>"", ""legged</w>"", ""forest</w>"", ""gra"", ""zer</w>"", ""demonstrates</w>"", ""co"", ""arse</w>"", ""gray</w>"", ""winter</w>"", ""hair</w>"", ""above</w>"", ""a</w>"", ""pale</w>"", ""rump</w>"", "",</w>"", ""where</w>"", ""its</w>"", ""full</w>"", ""body</w>"", ""stays</w>"", ""visible</w>"", "".</w>"", ""this</w>"", ""sentence</w>"", ""describes</w>"", ""the</w>"", ""concept</w>"", ""<|endoftext|>""]",6353,concept</w>,34,36,77,False
