sample_index,description_id,description,true_concept,raw_cluster_id,hungarian_matched_predicted_concept,prediction_correct,pc1,pc2,pc3
55,slot_07__horse__r01__c004,A saddle-trained trail companion carries a long face beneath mobile upright ears.,horse,1,dog,False,0.33442023,-0.16110012,0.19759156
56,slot_08__cat__r01__c001,"Against low evening light, pointed ears above bright slit-shaped eyes defines purring room-explorer.",cat,7,cat,True,0.16827604,0.4486733,0.16141362
57,slot_08__dog__r01__c001,A wet dark nose beneath gently folded ears distinguishes leash-following walking-partner near a calm farmyard.,dog,1,dog,True,0.32234684,0.03161275,0.21241671
58,slot_08__fox__r11__c802,"A red woodland hunter reveals pointed ears, white cheeks, black whiskers, and a narrow muzzle at close range.",fox,7,cat,False,-0.009607678,0.11272305,0.24858156
59,slot_08__bear__r04__c244,A massive head narrowing toward a prominent nose distinguishes long-clawed wilderness-resident near a misty hillside.,bear,7,cat,False,-0.0011051894,0.24492298,0.14524277
60,slot_08__wolf__r04__c245,Amber eyes set in a broad gray face distinguishes large gray howling pack hunter near an open grassy clearing.,wolf,4,wolf,True,0.06573799,0.050274704,0.06797016
61,slot_08__rabbit__r02__c083,"Beside a sunlit garden path, compact meadow forager reveals very long upright ears above round side-set eyes.",rabbit,3,rabbit,True,-0.09918964,0.23660937,0.16703042
62,slot_08__deer__r01__c002,Spotted forest youngster becomes recognizable through a black nose at the end of a tapered muzzle near a quiet fence line.,deer,4,wolf,False,-0.10943641,-0.11428981,-0.10093272
63,slot_08__horse__r01__c003,Tall long-faced grazer becomes recognizable through a forelock falling between attentive eyes near a calm farmyard.,horse,5,horse,True,0.037285555,-0.12509689,0.29437846
64,slot_09__cat__r01__c002,"A clear view shows striped hearthside-prowler with reflective eyes set in a compact whiskered face, as ground contact stays clear.",cat,6,fox,False,0.15153836,0.20742439,-0.29651824
65,slot_09__dog__r01__c004,"Tongue-out family-companion displays round attentive eyes above a broad nose beside a sunlit garden path, while the posture remains natural.",dog,1,dog,True,0.085296325,0.01030142,-0.2754053
66,slot_09__fox__r01__c002,"Beside a broad dirt trail, bushy-tailed den-visitor reveals white cheek markings beneath alert pointed ears; its full body stays visible.",fox,6,fox,True,-0.049747627,0.09102339,-0.12959039
67,slot_09__bear__r08__c569,"Beneath soft overcast light, round-eared timberland-giant becomes recognizable through a massive head narrowing toward a prominent nose, while ground contact stays clear.",bear,6,fox,False,-0.0896335,0.011311961,-0.08546224
68,slot_09__wolf__r02__c081,"A clear view shows sharp-eared snow traveler with a dark nose beyond a pale tapered muzzle, as the setting supports the behavior.",wolf,4,wolf,True,0.15843484,-0.10818985,-0.093574055
69,slot_09__rabbit__r02__c085,"Very long upright ears above round side-set eyes distinguishes soft-coated burrow dweller near low evening light, where its full body stays visible.",rabbit,3,rabbit,True,0.095226265,0.01639493,-0.11231314
70,slot_09__deer__r01__c001,"Split-hoofed trail visitor displays branching antlers rising over alert dark eyes beside a shaded woodland edge, while soft light preserves surface detail.",deer,0,deer,True,-0.34895813,-0.22614828,0.07976756
71,slot_09__horse__r01__c001,"A clear view shows saddle-trained trail companion with large dark eyes beside a broad soft muzzle, as surrounding plants provide scale.",horse,1,dog,False,0.09463581,-0.2534726,-0.1861109
72,slot_10__cat__r01__c002,"Fine cheek whiskers below independently turning ears distinguishes whiskered house-prowler near a patch of dense brush, where the background preserves its outline.",cat,6,fox,False,0.12257304,0.22061343,-0.2611986
73,slot_10__dog__r01__c002,"Within a rocky meadow, wagging household-companion demonstrates a long scenting muzzle beneath lifted ears, where the pose shows balanced proportions.",dog,1,dog,True,0.05986751,-0.19447502,-0.15783344
74,slot_10__fox__r01__c002,"Red-coated woodland-hunter displays fine whiskers surrounding a compact black nose beside a shaded woodland edge, while the posture remains natural.",fox,0,deer,False,-0.06067162,-0.08163177,-0.0996658
75,slot_10__bear__r09__c649,"While facing the open trail, powerful berry-gatherer becomes recognizable through a sensitive dark nose beyond a heavy face, while the background preserves its outline.",bear,2,bear,True,-0.12830536,-0.082742564,-0.10282033
76,slot_10__wolf__r04__c241,"Broad-pawed northern pack tracker carries upright triangular ears above an elongated muzzle across soft morning light; meanwhile, the pose shows balanced proportions.",wolf,4,wolf,True,0.093679234,-0.16041467,-0.17388844
77,slot_10__rabbit__r02__c081,"Within a quiet fence line, long-eared meadow grazer demonstrates large dark eyes and a split upper lip, where the posture remains natural.",rabbit,3,rabbit,True,-0.14529833,-0.07201638,0.010565704
78,slot_10__deer__r01__c002,"Antlered woodland browser carries a pale throat below a fine-boned woodland face across a calm farmyard; meanwhile, the viewpoint remains level.",deer,0,deer,True,-0.37952006,0.020148227,0.20375529
79,slot_10__horse__r01__c002,"Against soft morning light, a forelock falling between attentive eyes defines long-maned pasture runner; ground contact stays clear.",horse,5,horse,True,-0.11095602,-0.07975254,-0.03562273
80,slot_11__cat__r01__c007,A striped household mouser has quiet padded paws beneath flexible forelegs.,cat,7,cat,True,0.33682847,0.23189834,0.03918193
81,slot_11__dog__r01__c002,A panting ball retriever carries broad padded paws beneath sturdy running legs.,dog,1,dog,True,0.4091041,-0.064893484,-0.026344862
82,slot_11__fox__r01__c001,A narrow-muzzled night prowler has small black feet beneath narrow lower legs.,fox,6,fox,True,0.26850876,0.1381737,-0.10953427
83,slot_11__bear__r01__c004,A powerful berry gatherer carries thick muscular legs supporting deliberate steps.,bear,2,bear,True,0.036837704,0.039641604,0.14309579
84,slot_11__wolf__r04__c242,A bushy-tailed pack tracker shows dark padded feet supporting a steady trot.,wolf,4,wolf,True,0.16617574,-0.19559167,0.021048008
85,slot_11__rabbit__r01__c002,A hind-legged field nibbler shows oversized hind feet behind small front paws.,rabbit,7,cat,False,0.3044142,-0.13678093,0.02085333
86,slot_11__deer__r01__c001,A split-hoofed forest visitor reveals small cloven feet beneath lean brown limbs.,deer,0,deer,True,-0.14850326,-0.024029726,0.2959779
87,slot_11__horse__r01__c002,A saddle-trained trail companion reveals long lower legs ending in single hard hooves.,horse,5,horse,True,0.25918174,-0.28802302,0.17407428
88,slot_12__cat__r01__c005,A long balancing tail behind springing hind legs defines an upright-tailed lap companion.,cat,7,cat,True,0.33959046,0.0066990894,0.07991955
89,slot_12__dog__r02__c082,A broad-pawed walking partner carries straight forelegs supporting a ready stance.,dog,1,dog,True,0.40826946,-0.28293523,0.017417274
90,slot_12__fox__r02__c081,A bushy-tailed den visitor has dark lower legs ending in light quick paws.,fox,7,cat,False,0.19948477,0.19770856,-0.002919892
91,slot_12__bear__r02__c082,A bulky streamside fisher has heavy hind limbs behind a very short tail.,bear,2,bear,True,0.18073928,-0.034433965,0.09521361
92,slot_12__wolf__r04__c243,A wild gray pack hunter carries a low bushy tail behind powerful hindquarters.,wolf,4,wolf,True,0.1536518,-0.07188904,0.09863484
93,slot_12__rabbit__r04__c243,Powerful folded rear legs beneath a round body defines a long-eared grazer.,rabbit,7,cat,False,0.1538386,0.06407363,0.2879381
94,slot_12__deer__r02__c081,A branch-antlered visitor reveals slender legs ending in dark split hooves.,deer,0,deer,True,-0.12529549,-0.028143784,0.35220867
95,slot_12__horse__r01__c002,A flowing tail behind powerful hindquarters is visible on a bridled stable companion.,horse,5,horse,True,0.28701666,-0.32340434,0.11730582
96,slot_13__cat__r02__c082,Whiskered house-prowler displays small rounded feet placed in a narrow walking line beside low evening light.,cat,6,fox,False,0.1485501,0.38445687,-0.15676366
97,slot_13__dog__r01__c002,Straight forelegs supporting a ready stance distinguishes tongue-out family-companion near a calm farmyard.,dog,1,dog,True,0.19389936,-0.03861025,0.013874632
98,slot_13__fox__r01__c002,"Within soft morning light, amber-eyed meadow-prowler demonstrates slender springing limbs suited to sudden pounces.",fox,3,rabbit,False,-0.080175586,0.32562363,0.012739404
99,slot_13__bear__r01__c004,Long curved claws extending beyond dark toe pads distinguishes round-eared timberland-giant near a shaded woodland edge.,bear,2,bear,True,-0.20668411,0.02994245,0.027740052
100,slot_13__wolf__r03__c161,Gray pack hunter displays large snow-spreading feet and straight forelegs beside a narrow riverside path.,wolf,4,wolf,True,0.060941063,-0.15990862,-0.045472898
101,slot_13__rabbit__r05__c321,"Within an open grassy clearing, twitch-nosed clover nibbler demonstrates long hind limbs prepared for sudden bounds.",rabbit,3,rabbit,True,-0.047473162,0.12403883,0.09670541
102,slot_13__deer__r01__c002,"Beside a broad dirt trail, branch-antlered woodland traveler reveals long delicate forelegs built for quiet stepping.",deer,0,deer,True,-0.2967744,0.018640779,0.2934849
103,slot_13__horse__r01__c002,Swift-maned open-field runner carries muscular legs with dark hair above each hoof across a narrow riverside path.,horse,5,horse,True,0.17778678,-0.19227503,0.18119411
104,slot_14__cat__r01__c001,"Beside a misty hillside, pointed-eared lap-companion reveals curved retractable claws hidden above soft toe pads; nearby tracks indicate scale.",cat,6,fox,False,-0.04598696,0.1132182,-0.17365839
105,slot_14__dog__r01__c001,"Collar-wearing yard-guardian carries a wagging tail extending from strong hindquarters across a patch of dense brush; meanwhile, the viewpoint remains level.",dog,1,dog,True,0.0026756458,-0.08524025,-0.1884992
106,slot_14__fox__r01__c002,"Narrow-muzzled dusk-prowler carries small black feet beneath narrow lower legs across a pale winter field; meanwhile, soft light preserves surface detail.",fox,6,fox,True,-0.043290652,0.113617405,-0.25564048
107,slot_14__bear__r04__c241,"Within a shaded woodland edge, thick-furred cave-sleeper demonstrates thick muscular legs supporting deliberate steps, where the setting supports the behavior.",bear,2,bear,True,-0.10727635,-0.12005473,-0.19020559
108,slot_14__wolf__r04__c245,"Thick-coated howling sentinel carries large snow-spreading feet and straight forelegs across soft morning light; meanwhile, its full body stays visible.",wolf,4,wolf,True,-0.0612191,0.0610455,-0.18664494
109,slot_14__rabbit__r01__c001,"Soft-coated burrow dweller displays powerful folded rear legs beneath a round body beside a sunlit garden path, while soft light preserves surface detail.",rabbit,3,rabbit,True,0.0012839929,0.04705641,-0.29070762
110,slot_14__deer__r01__c001,"A clear view shows slender-legged forest grazer with a raised white tail above springing hind legs, as surrounding plants provide scale.",deer,0,deer,True,-0.13471188,-0.2162362,-0.024638988
111,slot_14__horse__r01__c003,"Single-hoofed riding companion displays long lower legs ending in single hard hooves beside a patch of dense brush, while the viewpoint remains level.",horse,5,horse,True,0.026315877,-0.38304257,-0.042122874
112,slot_15__cat__r03__c162,"Against scattered autumn leaves, curved retractable claws hidden above soft toe pads defines striped hearthside-prowler; the pose shows balanced proportions.",cat,6,fox,False,0.020364782,0.09015432,-0.33791453
113,slot_15__dog__r01__c003,"Within a rocky meadow, floppy-eared home-guardian demonstrates a wagging tail extending from strong hindquarters, where nearby tracks indicate scale.",dog,1,dog,True,0.07143958,-0.19198827,-0.20137328
114,slot_15__fox__r01__c001,"Sharp-eared field-stalker becomes recognizable through slender springing limbs suited to sudden pounces, while the background preserves its outline.",fox,0,deer,False,-0.121149994,-0.012195429,-0.04923583
115,slot_15__bear__r02__c081,"Massive front feet planted across rough ground distinguishes powerful berry-gatherer near a shallow stream bank, where the pose shows balanced proportions.",bear,2,bear,True,-0.22567031,-0.12599783,-0.19546543
116,slot_15__wolf__r04__c246,"Broad-pawed northern pack tracker displays broad paws beneath long endurance-built legs beside a broad dirt trail, while nearby tracks indicate scale.",wolf,4,wolf,True,0.08994682,-0.27864522,-0.20167845
117,slot_15__rabbit__r04__c243,"Long-eared grassland nibbler carries long hind limbs prepared for sudden bounds across low evening light; meanwhile, its full body stays visible.",rabbit,6,fox,False,-0.15218763,0.05195026,-0.031154294
118,slot_15__deer__r01__c003,"Split-hoofed trail visitor carries a raised white tail above springing hind legs across a calm farmyard; meanwhile, soft light preserves surface detail.",deer,5,horse,False,-0.034627106,-0.24643432,-0.063572854
119,slot_15__horse__r01__c002,"A sweeping tail balancing four narrow hooves distinguishes tall long-faced grazer near a weathered wooden gate, where the setting supports the behavior.",horse,5,horse,True,0.04978986,-0.31282958,-0.0040089316
120,slot_16__cat__r01__c002,A striped household mouser carries a compact low torso with a flexible spine.,cat,7,cat,True,0.26167488,0.13330452,-0.06251317
121,slot_16__dog__r01__c003,A tail-wagging family companion carries strong shoulders above an athletic household silhouette.,dog,1,dog,True,0.35891926,-0.0013677379,0.11711675
122,slot_16__fox__r04__c246,A light elongated frame beneath a full tail marks a russet snowline hunter.,fox,3,rabbit,False,0.0831506,0.20769356,0.10707908
123,slot_16__bear__r01__c003,A broad-pawed wilderness forager has a towering woodland silhouette built for strength.,bear,2,bear,True,-0.14682032,0.095717944,0.19618745
124,slot_16__wolf__r05__c321,Powerful shoulders narrowing toward the flanks defines a howling snow hunter.,wolf,4,wolf,True,0.118358545,0.1350958,0.22938706
125,slot_16__rabbit__r02__c082,A burrow resident carries a lightweight frame with prominent folded haunches.,rabbit,3,rabbit,True,0.13766247,0.029366625,0.047001634
126,slot_16__deer__r01__c004,An antlered woodland browser shows an athletic herd grazer with a deep chest.,deer,0,deer,True,-0.1818801,-0.14352483,0.43349385
127,slot_16__horse__r01__c001,A muscular farmyard runner carries a powerful hindquarter line beneath the saddle area.,horse,5,horse,True,0.2715729,-0.32278052,0.14808401
128,slot_17__cat__r01__c002,A lightweight household frame and narrow shoulders identifies a purring house prowler.,cat,7,cat,True,0.35006577,0.3118354,0.017062914
129,slot_17__dog__r01__c004,A panting ball retriever shows a sturdy medium frame with a broad chest.,dog,1,dog,True,0.39375216,-0.1740219,-0.06600839
130,slot_17__fox__r15__c1121,A slender red hunter carries a huge bushy tail with a bright white tip.,fox,7,cat,False,0.11349102,0.023535524,0.112192914
131,slot_17__bear__r02__c081,A round-eared forest giant shows a massive torso rising over powerful shoulders.,bear,2,bear,True,-0.08635272,-0.10564143,0.19813451
132,slot_17__wolf__r09__c643,A sturdy wild gray pack hunter shows a tall athletic silhouette heavier than a yard companion.,wolf,4,wolf,True,0.16923656,-0.13315412,0.055993773
133,slot_17__rabbit__r07__c482,A garden nibbler shows a small pear-shaped silhouette and short neck.,rabbit,3,rabbit,True,0.17494904,0.010389377,-0.016647989
134,slot_17__deer__r04__c241,A lean woodland frame with a short tail identifies a split-hoofed grazer.,deer,5,horse,False,0.019277718,-0.26575625,0.24641472
135,slot_17__horse__r05__c326,A long-faced grazer shows a powerful hindquarter line beneath the saddle area.,horse,5,horse,True,0.24579528,-0.38379756,0.2158841
136,slot_18__cat__r03__c163,"Beside low evening light, striped hearthside-prowler reveals a lightweight household frame and narrow shoulders.",cat,6,fox,False,0.11038223,0.38322526,-0.14325629
137,slot_18__dog__r01__c001,Leash-following walking-partner displays a sturdy medium frame with a broad chest beside a narrow riverside path.,dog,1,dog,True,0.3399496,-0.19459613,0.00600419
138,slot_18__fox__r04__c243,Orange-chested hedgerow-stalker displays a small woodland silhouette built for quick turns beside soft morning light.,fox,3,rabbit,False,-0.319464,0.21661757,0.05357206
139,slot_18__bear__r02__c083,"Beside a quiet fence line, towering honey-seeker reveals a massive torso rising over powerful shoulders.",bear,2,bear,True,-0.03546008,0.06953635,0.13560739
140,slot_18__wolf__r04__c243,Thick-coated howling sentinel becomes recognizable through powerful shoulders narrowing toward the flanks near a shallow stream bank.,wolf,4,wolf,True,-0.10166775,-0.016764674,-0.09826694
141,slot_18__rabbit__r01__c001,White-tailed garden visitor carries a compact rounded body held close to the ground across a patch of dense brush.,rabbit,3,rabbit,True,-0.07518678,-0.000576384,-0.06875534
142,slot_18__deer__r01__c001,"Against a rocky meadow, a tall narrow torso on unusually slender legs defines large-eared woodland browser.",deer,0,deer,True,-0.19820446,0.060791623,0.21583435
143,slot_18__horse__r01__c002,"Against a misty hillside, a high-shouldered silhouette above slender lower legs defines powerful paddock runner.",horse,5,horse,True,0.04664438,-0.048983455,0.11390031
144,slot_19__cat__r01__c002,"Beside a misty hillside, striped hearthside-prowler reveals a rounded chest tapering toward agile hindquarters; its full body stays visible.",cat,6,fox,False,-0.05054108,0.18899237,-0.25699052
145,slot_19__dog__r01__c001,"Against scattered autumn leaves, a balanced torso built for running beside people defines floppy-eared home-guardian; ground contact stays clear.",dog,1,dog,True,0.020903144,-0.0070332102,-0.07464739
146,slot_19__fox__r02__c081,"A clear view shows bushy-tailed den-visitor with a small woodland silhouette built for quick turns, as the setting supports the behavior.",fox,3,rabbit,False,-0.17404088,0.008664184,-0.19564773
147,slot_19__bear__r03__c162,"Long-clawed wilderness-resident carries a massive torso rising over powerful shoulders across a shaded woodland edge; meanwhile, the background preserves its outline.",bear,2,bear,True,-0.25424552,-0.15209837,-0.12211677
148,slot_19__wolf__r04__c243,"Within a patch of dense brush, wild gray pack predator demonstrates a rangy body built for sustained travel, where the moment appears unstaged.",wolf,4,wolf,True,-0.16069832,-0.022943905,-0.17378128
149,slot_19__rabbit__r01__c003,"Within a rocky meadow, short-tailed garden browser demonstrates a compact rounded body held close to the ground, where nearby tracks indicate scale.",rabbit,3,rabbit,True,-0.099918604,-0.15245633,-0.24148832
150,slot_19__deer__r01__c002,"A clear view shows alert brown forest browser with a long-necked body balanced above fine limbs, as the head and torso remain visible.",deer,0,deer,True,-0.20007315,-0.1653613,0.027434489
151,slot_19__horse__r01__c003,"A clear view shows upright-eared pasture grazer with a tall deep-chested body with a long neck, as ground contact stays clear.",horse,5,horse,True,-0.026907137,-0.31238312,0.1262414
152,slot_20__cat__r01__c002,"Whiskered house-prowler displays a neatly proportioned body suited to tight indoor spaces beside a calm farmyard, while the posture remains natural.",cat,6,fox,False,0.13046323,0.20808391,-0.2899649
153,slot_20__dog__r01__c002,"A clear view shows wagging household-companion with a solid companion-sized body carried on four even legs, as the head and torso remain visible.",dog,1,dog,True,0.25798193,-0.25977278,-0.15092224
154,slot_20__fox__r07__c484,"Orange-chested hedgerow-stalker becomes recognizable through a graceful ground-hugging body with delicate proportions, while soft light preserves surface detail.",fox,3,rabbit,False,-0.29151723,0.08523647,-0.14715506
155,slot_20__bear__r02__c082,"A massive torso rising over powerful shoulders distinguishes round-eared timberland-giant near a shallow stream bank, where nearby tracks indicate scale.",bear,2,bear,True,-0.22513118,-0.1907497,-0.066273965
156,slot_20__wolf__r04__c245,"Bushy-tailed mountain pack tracker becomes recognizable through a rangy body built for sustained travel, while the head and torso remain visible.",wolf,4,wolf,True,0.07107945,-0.21592729,-0.19120777
157,slot_20__rabbit__r04__c248,"Long-eared grassland nibbler displays a low oval profile ending in a tiny tail beside a shallow stream bank, while the pose shows balanced proportions.",rabbit,3,rabbit,True,-0.035048686,-0.15505725,-0.08277165
158,slot_20__deer__r01__c001,"Within a misty hillside, branch-antlered woodland traveler demonstrates a lean woodland frame with a short tail, where nearby tracks indicate scale.",deer,0,deer,True,-0.39680943,-0.17281272,-0.0018198047
