slot_id,slot_index,facet,length_bin,target_token_min,target_token_max,common_semantic_instruction,generation_round,generation_source,generation_model
slot_36,35,interaction_with_objects_or_people,short,14,19,response to a nearby person,round_1,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_37,36,interaction_with_objects_or_people,short,14,19,use of a familiar object,round_2,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_38,37,interaction_with_objects_or_people,medium,21,26,cautious object inspection,round_3,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_39,38,interaction_with_objects_or_people,long,28,33,routine human interaction,round_4,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_40,39,interaction_with_objects_or_people,long,28,33,position near a constructed object,round_5,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_41,40,interaction_with_other_animals,short,14,19,affiliative interaction,round_1,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_42,41,interaction_with_other_animals,short,14,19,competitive interaction,round_2,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_43,42,interaction_with_other_animals,medium,21,26,group spacing,round_3,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_44,43,interaction_with_other_animals,long,28,33,response to another species,round_4,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_45,44,interaction_with_other_animals,long,28,33,protective interaction,round_5,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_46,45,sound_or_sensory_cues,short,14,19,characteristic call,round_1,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_47,46,sound_or_sensory_cues,short,14,19,hearing behavior,round_2,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_48,47,sound_or_sensory_cues,medium,21,26,scent behavior,round_3,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_49,48,sound_or_sensory_cues,long,28,33,quiet contact sound,round_4,balanced_paired_repository_generator,deterministic_concept_profiles_v1
slot_50,49,sound_or_sensory_cues,long,28,33,alarm cue,round_5,balanced_paired_repository_generator,deterministic_concept_profiles_v1
