candidate_id,concept,facet_id,description,stage1_status,generated_seed_count,expected_seed_count,target_top1_count,mean_target_score,mean_target_margin,low_confidence_count,confident_wrong_count,automatic_decision,automatic_reason
slot_03__cat__r01__c001,cat,coat_color_texture,Velvet-footed small-hunter carries soft striped fur with a pale chest across a shaded woodland edge.,reject,1,3,0,0.2823101282119751,-0.3026003837585449,0,1,reject,stage1_reject
slot_03__cat__r01__c002,cat,coat_color_texture,"Beside a misty hillside, curled-tail home-companion reveals short gray hair patterned by faint bands.",reject,1,3,0,0.00908743217587471,-0.9179478399455547,0,1,reject,stage1_reject
slot_03__cat__r02__c081,cat,coat_color_texture,"Within a shaded woodland edge, curled-tail home-companion demonstrates a smooth black coat reflecting window light.",pass,3,3,1,0.4137264942595114,-0.09818050086808701,0,2,rejected,high_confidence_wrong_class
slot_03__cat__r02__c082,cat,coat_color_texture,A warm orange coat with white patches distinguishes whiskered house-prowler near a misty hillside.,reject,1,3,0,0.0771166980266571,-0.46151605248451233,0,1,reject,stage1_reject
slot_03__cat__r03__c161,cat,coat_color_texture,Whiskered house-prowler becomes recognizable through short gray hair patterned by faint bands near a shaded woodland edge.,pass,3,3,3,0.9907117486000061,0.9853881923481822,0,0,accepted,meets_all_automatic_thresholds
slot_03__cat__r03__c162,cat,coat_color_texture,A clear view shows pointed-eared lap-companion with dense velvet-like fur across the back near a misty hillside.,reject,1,3,0,0.001496115350164473,-0.46340494451578707,0,1,reject,stage1_reject
slot_03__cat__r04__c241,cat,coat_color_texture,"Against a shaded woodland edge, a warm orange coat with white patches defines pointed-eared lap-companion.",reject,1,3,0,0.008363694883883,-0.9414599826559424,0,1,reject,stage1_reject
slot_03__cat__r04__c242,cat,coat_color_texture,Slit-eyed indoor-hunter carries soft striped fur with a pale chest across a misty hillside.,reject,1,3,0,0.0017047685105353594,-0.903609438566491,0,1,reject,stage1_reject
slot_03__cat__r04__c243,cat,coat_color_texture,"Beside a narrow riverside path, purring room-explorer reveals short gray hair patterned by faint bands.",borderline,1,3,0,0.23536284267902374,-0.14067275822162628,1,0,borderline,stage1_borderline
slot_03__cat__r04__c244,cat,coat_color_texture,Retractable-clawed climber becomes recognizable through dense velvet-like fur across the back near a shallow stream bank.,reject,1,3,0,0.1335698515176773,-0.41944126784801483,0,1,reject,stage1_reject
slot_03__cat__r05__c321,cat,coat_color_texture,Slit-eyed indoor-hunter displays dense velvet-like fur across the back beside a shaded woodland edge.,pass,3,3,2,0.547355248282353,0.27109677623957396,0,1,rejected,high_confidence_wrong_class
slot_03__cat__r05__c322,cat,coat_color_texture,"Within a misty hillside, purring room-explorer demonstrates a smooth black coat reflecting window light.",pass,3,3,3,0.9799674948056539,0.9674598958032826,0,0,accepted,meets_all_automatic_thresholds
slot_03__cat__r05__c323,cat,coat_color_texture,A warm orange coat with white patches distinguishes retractable-clawed climber near a narrow riverside path.,reject,1,3,0,0.05133446305990219,-0.6819071546196938,0,1,reject,stage1_reject
slot_03__cat__r05__c324,cat,coat_color_texture,"Against a shallow stream bank, soft striped fur with a pale chest defines padded-paw windowsill-watcher.",pass,3,3,3,0.9801230430603027,0.9644977987433473,0,0,accepted,meets_all_automatic_thresholds
slot_03__dog__r01__c001,dog,coat_color_texture,"Against scattered autumn leaves, a short golden coat with a pale chest defines playful backyard-digger.",reject,1,3,0,0.1541270911693573,-0.4846510589122772,0,1,reject,stage1_reject
slot_03__dog__r01__c002,dog,coat_color_texture,Tongue-out family-companion carries smooth black fur marked by warm brown patches across a patch of dense brush.,pass,3,3,1,0.2912233844399452,-0.35589242229859036,0,2,rejected,high_confidence_wrong_class
slot_03__dog__r02__c081,dog,coat_color_texture,Tongue-out family-companion displays dense curly hair covering the torso beside scattered autumn leaves.,reject,1,3,0,0.14093458652496338,-0.4267350435256958,0,1,reject,stage1_reject
slot_03__dog__r02__c082,dog,coat_color_texture,"Within a patch of dense brush, wagging household-companion demonstrates a shaggy gray coat around the shoulders.",pass,3,3,3,0.9593298435211182,0.9201338086277246,0,0,accepted,meets_all_automatic_thresholds
slot_03__fox__r01__c002,fox,coat_color_texture,"Against a rocky meadow, dense copper hair blending into autumn leaves defines amber-eyed meadow-prowler.",pass,3,3,1,0.4899892620742321,-0.015823082765564322,0,2,rejected,high_confidence_wrong_class
slot_03__fox__r01__c003,fox,coat_color_texture,Red-coated woodland-hunter carries a thick reddish coat fading toward a white underside across a pale winter field.,reject,1,3,0,0.1998617798089981,-0.510229155421257,0,1,reject,stage1_reject
slot_03__fox__r02__c082,fox,coat_color_texture,Red-coated woodland-hunter displays warm russet fur beneath a pale throat beside a rocky meadow.,pass,3,3,3,0.8655675252278646,0.7353755919029936,0,0,accepted,meets_all_automatic_thresholds
slot_03__fox__r02__c083,fox,coat_color_texture,"Within a pale winter field, white-tipped brush-bearer demonstrates rust-colored fur above a clean white chest.",borderline,1,3,0,0.2686445415019989,-0.1581987738609314,0,0,borderline,stage1_borderline
slot_04__bear__r01__c001,bear,coat_color_texture,"Round-eared timberland-giant carries a heavy black coat covering broad shoulders across a narrow riverside path; meanwhile, the viewpoint remains level.",pass,3,3,3,0.9913919568061829,0.9840001992027586,0,0,accepted,meets_all_automatic_thresholds
slot_04__bear__r01__c002,bear,coat_color_texture,"Beside a shallow stream bank, broad-muzzled river-hunter reveals shaggy dark fur suited to cold woodland; its full body stays visible.",reject,1,3,0,0.07697261869907379,-0.8279151171445847,0,1,reject,stage1_reject
slot_04__cat__r01__c001,cat,coat_color_texture,"A clear view shows pointed-eared lap-companion with a smooth black coat reflecting window light, as the head and torso remain visible.",reject,1,3,0,0.0039812372997403145,-0.8928306652233005,0,1,reject,stage1_reject
slot_04__cat__r01__c002,cat,coat_color_texture,"Slit-eyed indoor-hunter displays a warm orange coat with white patches beside a calm farmyard, while the viewpoint remains level.",reject,1,3,0,0.004405459854751825,-0.4950924008153379,0,1,reject,stage1_reject
slot_04__cat__r02__c081,cat,coat_color_texture,"Slit-eyed indoor-hunter carries short gray hair patterned by faint bands across a shallow stream bank; meanwhile, the head and torso remain visible.",borderline,1,3,0,0.20639124512672424,-0.20972734689712524,1,0,borderline,stage1_borderline
slot_04__cat__r02__c082,cat,coat_color_texture,"Beside a calm farmyard, purring room-explorer reveals dense velvet-like fur across the back; the viewpoint remains level.",pass,3,3,3,0.8028455376625061,0.6276721296211084,0,0,accepted,meets_all_automatic_thresholds
slot_04__dog__r01__c002,dog,coat_color_texture,"A clear view shows wet-nosed trail-helper with a shaggy gray coat around the shoulders, as ground contact stays clear.",pass,3,3,3,0.9277812242507935,0.8720658558110396,0,0,accepted,meets_all_automatic_thresholds
slot_04__dog__r01__c003,dog,coat_color_texture,"Leash-following walking-partner displays a short golden coat with a pale chest beside a sunlit garden path, while soft light preserves surface detail.",pass,3,3,3,0.8783833583196005,0.7733241301806023,0,0,accepted,meets_all_automatic_thresholds
slot_04__fox__r01__c001,fox,coat_color_texture,"Beside a broad dirt trail, white-tipped brush-bearer reveals a red-orange coat with dark lower markings; nearby tracks indicate scale.",pass,3,3,1,0.4056842674811681,0.00066623588403066,0,2,rejected,high_confidence_wrong_class
slot_04__fox__r01__c002,fox,coat_color_texture,"Narrow-muzzled dusk-prowler becomes recognizable through warm russet fur beneath a pale throat, while the setting supports the behavior.",pass,3,3,3,0.9716646273930868,0.9455369028728455,0,0,accepted,meets_all_automatic_thresholds
slot_05__bear__r01__c001,bear,coat_color_texture,"A clear view shows thick-furred cave-sleeper with thick cinnamon-colored hair across the torso, as surrounding plants provide scale.",pass,3,3,3,0.8683605591456095,0.7938366464028755,0,0,accepted,meets_all_automatic_thresholds
slot_05__bear__r01__c002,bear,coat_color_texture,"Powerful berry-gatherer displays a coarse golden-brown coat around the flanks beside a patch of dense brush, while the posture remains natural.",pass,3,3,3,0.8116975029309591,0.7097067385911942,0,0,accepted,meets_all_automatic_thresholds
slot_05__cat__r01__c001,cat,coat_color_texture,"Short gray hair patterned by faint bands distinguishes retractable-clawed climber near a patch of dense brush, where the setting supports the behavior.",pass,3,3,3,0.8797719875971476,0.8153225313872099,0,0,accepted,meets_all_automatic_thresholds
slot_05__cat__r01__c002,cat,coat_color_texture,"Against an open grassy clearing, dense velvet-like fur across the back defines padded-paw windowsill-watcher; surrounding plants provide scale.",borderline,1,3,1,0.3542981445789337,0.04704403877258301,1,0,borderline,stage1_borderline
slot_05__dog__r01__c001,dog,coat_color_texture,"Within a rocky meadow, panting ball-chaser demonstrates smooth black fur marked by warm brown patches, where its full body stays visible.",borderline,1,3,0,0.262713223695755,-0.16258743405342102,1,0,borderline,stage1_borderline
slot_05__dog__r01__c002,dog,coat_color_texture,"White spotted hair across a sturdy back distinguishes broad-pawed gate-watcher near a pale winter field, where the background preserves its outline.",pass,3,3,3,0.802758644024531,0.6634179110017916,0,0,accepted,meets_all_automatic_thresholds
slot_05__fox__r01__c001,fox,coat_color_texture,"Sharp-eared field-stalker displays dense copper hair blending into autumn leaves beside a shaded woodland edge, while soft light preserves surface detail.",borderline,1,3,0,0.2737428545951843,-0.11484286189079285,1,0,borderline,stage1_borderline
slot_05__fox__r01__c002,fox,coat_color_texture,"Within a misty hillside, russet snowline-hunter demonstrates a thick reddish coat fading toward a white underside, where the pose shows balanced proportions.",reject,1,3,0,0.1070016548037529,-0.7539447620511055,0,1,reject,stage1_reject
slot_05__fox__r02__c081,fox,coat_color_texture,"Beside a shaded woodland edge, russet snowline-hunter reveals warm russet fur beneath a pale throat; soft light preserves surface detail.",pass,3,3,3,0.9925208489100138,0.9872594076829652,0,0,accepted,meets_all_automatic_thresholds
slot_05__fox__r02__c083,fox,coat_color_texture,"A clear view shows bushy-tailed den-visitor with dense copper hair blending into autumn leaves, as the moment appears unstaged.",pass,3,3,3,0.9641234477361044,0.9491258968676751,0,0,accepted,meets_all_automatic_thresholds
slot_06__bear__r01__c001,bear,head_face_ears,A bulky streamside fisher has a wide pale muzzle beneath round listening ears.,reject,1,3,0,0.03304431959986687,-0.9252248592674732,0,1,reject,stage1_reject
slot_06__bear__r01__c002,bear,head_face_ears,Small rounded ears above a broad muzzle defines a thick-furred woodland giant.,pass,3,3,2,0.42335375615706045,-0.04749144148081541,0,1,rejected,high_confidence_wrong_class
slot_06__bear__r02__c084,bear,head_face_ears,A round-eared forest giant has small rounded ears above a broad muzzle.,pass,3,3,2,0.5043770174185435,0.13799725969632468,0,1,rejected,high_confidence_wrong_class
slot_06__bear__r02__c087,bear,head_face_ears,A sensitive dark nose beyond a heavy face marks a long-clawed cave sleeper.,reject,1,3,0,0.001287779537960887,-0.9905374434310943,0,1,reject,stage1_reject
slot_06__bear__r03__c162,bear,head_face_ears,Deep-set eyes framed by dense facial fur marks a massive shaggy forager.,pass,3,3,1,0.4702809676527977,-0.0462271918853124,0,2,rejected,high_confidence_wrong_class
slot_06__bear__r03__c163,bear,head_face_ears,A round-eared forest giant reveals a massive head narrowing toward a prominent nose.,reject,1,3,0,0.3948759138584137,-0.15764006972312927,0,1,reject,stage1_reject
slot_06__bear__r04__c241,bear,head_face_ears,A sensitive dark nose beyond a heavy face is visible on a massive shaggy forager.,pass,3,3,1,0.35619209582606953,-0.28533807024359703,0,2,rejected,high_confidence_wrong_class
slot_06__bear__r04__c242,bear,head_face_ears,A round-eared forest giant has a wide pale muzzle beneath round listening ears.,pass,3,3,2,0.7069080372651418,0.47037876149018604,0,0,accepted,meets_all_automatic_thresholds
slot_06__bear__r04__c243,bear,head_face_ears,Small rounded ears above a broad muzzle defines a broad-muzzled river hunter.,reject,1,3,0,0.006800326518714428,-0.9853693516924977,0,1,reject,stage1_reject
slot_06__bear__r04__c246,bear,head_face_ears,A powerful berry gatherer reveals a sensitive dark nose beyond a heavy face.,pass,3,3,3,0.5700194239616394,0.37912579377492267,1,0,borderline,ambiguous_or_below_margin
slot_06__cat__r01__c002,cat,head_face_ears,A striped household mouser reveals pointed ears above bright slit-shaped eyes.,pass,3,3,3,0.9944085478782654,0.9903246175187329,0,0,accepted,meets_all_automatic_thresholds
slot_06__cat__r01__c003,cat,head_face_ears,A rounded muzzle beneath upright listening ears identifies an upright-tailed lap companion.,reject,1,3,0,0.0006936137215234339,-0.991683786676731,0,1,reject,stage1_reject
slot_06__dog__r01__c001,dog,head_face_ears,A broad-pawed walking partner carries soft hanging ears framing a friendly face.,pass,3,3,3,0.9063731630643209,0.8363699988306811,0,0,accepted,meets_all_automatic_thresholds
slot_06__dog__r01__c002,dog,head_face_ears,A wet dark nose beneath gently folded ears marks a playful backyard digger.,pass,3,3,3,0.9819560050964355,0.9686929060456654,0,0,accepted,meets_all_automatic_thresholds
slot_06__fox__r01__c001,fox,head_face_ears,White cheek markings beneath alert pointed ears defines an orange-chested hedge stalker.,pass,3,3,2,0.4113784109552701,0.007126457989215851,0,1,rejected,high_confidence_wrong_class
slot_06__fox__r01__c003,fox,head_face_ears,A dark nose beyond a sharply tapered muzzle marks a slender twilight forager.,pass,3,3,1,0.362842117746671,-0.07665222386519115,0,2,rejected,high_confidence_wrong_class
slot_06__fox__r02__c081,fox,head_face_ears,An amber-eyed meadow prowler shows fine whiskers surrounding a compact black nose.,pass,3,3,1,0.49795859555403393,0.0030781921620170274,0,2,rejected,high_confidence_wrong_class
slot_06__fox__r02__c082,fox,head_face_ears,Amber eyes set in a fine red face is visible on a slender twilight forager.,borderline,1,3,0,0.02709132619202137,-0.42152628116309643,0,0,borderline,stage1_borderline
slot_06__fox__r03__c161,fox,head_face_ears,Tall triangular ears above a narrow muzzle marks a slender twilight forager.,pass,3,3,1,0.3899557987848918,-0.15027297536532083,0,2,rejected,high_confidence_wrong_class
slot_06__fox__r03__c163,fox,head_face_ears,Fine whiskers surrounding a compact black nose identifies a white-tipped brush bearer.,reject,1,3,0,0.029958099126815796,-0.5167137086391449,0,1,reject,stage1_reject
slot_06__fox__r04__c241,fox,head_face_ears,A red-coated dusk hunter has amber eyes set in a fine red face.,reject,1,3,0,0.02064928226172924,-0.9450398404151201,0,1,reject,stage1_reject
slot_06__fox__r04__c242,fox,head_face_ears,White cheek markings beneath alert pointed ears defines a white-tipped brush bearer.,borderline,1,3,0,0.07168128341436386,-0.3511478081345558,1,0,borderline,stage1_borderline
slot_06__fox__r04__c245,fox,head_face_ears,A sharp-eared field stalker reveals fine whiskers surrounding a compact black nose.,pass,3,3,1,0.23991793766617775,-0.5028473796943823,0,2,rejected,high_confidence_wrong_class
slot_06__fox__r04__c246,fox,head_face_ears,Amber eyes set in a fine red face identifies a russet snowline hunter.,reject,1,3,0,0.3131691813468933,-0.3257787823677063,0,1,reject,stage1_reject
slot_06__fox__r05__c324,fox,head_face_ears,A sharp-eared field stalker has white cheek markings beneath alert pointed ears.,reject,1,3,0,0.4565616250038147,-0.028432637453079224,0,1,reject,stage1_reject
slot_06__fox__r05__c325,fox,head_face_ears,Tall triangular ears above a narrow muzzle defines a russet snowline hunter.,pass,3,3,2,0.38499446709950763,-0.19236608346303305,0,1,rejected,high_confidence_wrong_class
slot_06__fox__r05__c327,fox,head_face_ears,Fine whiskers surrounding a compact black nose marks an orange-chested hedge stalker.,borderline,1,3,0,0.06928500533103943,-0.37786945700645447,0,0,borderline,stage1_borderline
slot_06__fox__r05__c328,fox,head_face_ears,An amber-eyed meadow prowler reveals amber eyes set in a fine red face.,pass,3,3,3,0.5538289745648702,0.1955810934305191,0,0,accepted,meets_all_automatic_thresholds
slot_06__fox__r06__c401,fox,head_face_ears,A narrow-muzzled night prowler carries white cheek markings beneath alert pointed ears.,reject,1,3,0,0.035012613981962204,-0.9185355193912983,0,1,reject,stage1_reject
slot_06__fox__r06__c402,fox,head_face_ears,Tall triangular ears above a narrow muzzle marks a black-legged forest hunter.,borderline,1,3,0,0.24506917595863342,-0.17041999101638794,0,0,borderline,stage1_borderline
slot_06__fox__r06__c404,fox,head_face_ears,Fine whiskers surrounding a compact black nose identifies a russet snowline hunter.,pass,3,3,2,0.636456365386645,0.31867596607965726,0,1,rejected,high_confidence_wrong_class
slot_06__fox__r06__c405,fox,head_face_ears,A bushy-tailed den visitor shows amber eyes set in a fine red face.,pass,3,3,3,0.7174749970436096,0.49328870822985965,0,0,accepted,meets_all_automatic_thresholds
slot_06__fox__r07__c482,fox,head_face_ears,A sharp-eared field stalker has amber eyes set in a fine red face.,reject,1,3,0,0.0013661535922437906,-0.994505807524547,0,1,reject,stage1_reject
slot_06__fox__r07__c483,fox,head_face_ears,White cheek markings beneath alert pointed ears defines a russet snowline hunter.,pass,3,3,1,0.3202839108804862,-0.34814857070644695,0,2,rejected,high_confidence_wrong_class
slot_06__fox__r07__c486,fox,head_face_ears,An amber-eyed meadow prowler reveals fine whiskers surrounding a compact black nose.,pass,3,3,1,0.39229649802049,-0.2127513234736398,0,2,rejected,high_confidence_wrong_class
slot_06__fox__r07__c487,fox,head_face_ears,Amber eyes set in a fine red face identifies a slender twilight forager.,reject,1,3,0,0.023236338049173355,-0.5446560941636562,0,1,reject,stage1_reject
slot_06__fox__r08__c565,fox,head_face_ears,An alert amber-eyed meadow prowler carries white cheek markings beneath alert pointed ears.,pass,3,3,1,0.36468224227428436,-0.26403552790482837,0,2,rejected,high_confidence_wrong_class
slot_06__fox__r08__c566,fox,head_face_ears,An alert slender twilight forager displays tall triangular ears above a narrow muzzle.,reject,1,3,0,0.08308999240398407,-0.6958148628473282,0,1,reject,stage1_reject
slot_06__fox__r08__c568,fox,head_face_ears,An alert white-tipped brush bearer reveals fine whiskers surrounding a compact black nose.,pass,3,3,1,0.27417849221577245,-0.30419498961418867,1,2,rejected,high_confidence_wrong_class
slot_06__fox__r08__c570,fox,head_face_ears,An alert black-legged forest hunter displays white cheek markings beneath alert pointed ears.,reject,1,3,0,0.05372350290417671,-0.8260438553988934,0,1,reject,stage1_reject
slot_06__fox__r09__c641,fox,head_face_ears,An alert russet snowline hunter displays amber eyes set in a fine red face.,pass,3,3,2,0.62077829738458,0.28198280759776634,0,1,rejected,high_confidence_wrong_class
slot_06__fox__r09__c642,fox,head_face_ears,An alert bushy-tailed den visitor shows white cheek markings beneath alert pointed ears.,pass,3,3,2,0.6340668996175131,0.32773577856520814,0,1,rejected,high_confidence_wrong_class
slot_06__fox__r09__c645,fox,head_face_ears,An alert slender twilight forager displays fine whiskers surrounding a compact black nose.,reject,1,3,0,0.41988328099250793,-0.04311820864677429,0,1,reject,stage1_reject
slot_06__fox__r09__c646,fox,head_face_ears,An alert red-coated dusk hunter shows amber eyes set in a fine red face.,pass,3,3,2,0.6221790505417933,0.25274110888130963,0,1,rejected,high_confidence_wrong_class
slot_06__fox__r10__c724,fox,head_face_ears,An alert slender twilight forager displays white cheek markings beneath alert pointed ears.,reject,1,3,0,0.19006408751010895,-0.3098282366991043,1,1,reject,stage1_reject
slot_06__fox__r10__c728,fox,head_face_ears,An alert black-legged forest hunter displays amber eyes set in a fine red face.,borderline,1,3,0,0.06715944409370422,-0.27312785387039185,1,0,borderline,stage1_borderline
slot_06__fox__r10__c729,fox,head_face_ears,An alert sharp-eared field stalker shows white cheek markings beneath alert pointed ears.,pass,3,3,1,0.23398668815692267,-0.49200958758592606,0,2,rejected,high_confidence_wrong_class
slot_06__fox__r10__c734,fox,head_face_ears,An alert slender twilight forager reveals white cheek markings beneath alert pointed ears.,borderline,1,3,0,0.1871299147605896,-0.23296582698822021,1,0,borderline,stage1_borderline
slot_06__fox__r11__c801,fox,head_face_ears,"An orange hunter has pointed ears, a narrow muzzle, and white cheeks.",pass,3,3,1,0.43410195720692474,-0.12460698125263055,0,2,rejected,high_confidence_wrong_class
slot_06__fox__r11__c802,fox,head_face_ears,Pointed ears frame the narrow white-cheeked face of an orange hunter.,pass,3,3,1,0.2927830157180627,-0.253355390081803,1,1,rejected,high_confidence_wrong_class
slot_06__fox__r11__c803,fox,head_face_ears,"White cheeks, black whiskers, and sharp ears define this small orange hunter.",reject,1,3,0,0.058105457574129105,-0.8768205754458904,0,1,reject,stage1_reject
slot_06__fox__r11__c804,fox,head_face_ears,"A red woodland hunter shows tall ears, a slim muzzle, and pale cheeks.",pass,3,3,2,0.7126497824986776,0.4343345096955697,0,1,rejected,high_confidence_wrong_class
slot_06__fox__r12__c881,fox,head_face_ears,"An orange hunter has pointed ears, a narrow muzzle, and white cheeks.",pass,3,3,1,0.43410195720692474,-0.12460698125263055,0,2,rejected,high_confidence_wrong_class
slot_06__fox__r12__c882,fox,head_face_ears,Pointed ears frame the narrow white-cheeked face of an orange hunter.,pass,3,3,1,0.2927830157180627,-0.253355390081803,1,1,rejected,high_confidence_wrong_class
slot_06__fox__r12__c883,fox,head_face_ears,"White cheeks, black whiskers, and sharp ears define this small orange hunter.",reject,1,3,0,0.058105457574129105,-0.8768205754458904,0,1,reject,stage1_reject
slot_06__fox__r12__c884,fox,head_face_ears,"A red woodland hunter shows tall ears, a slim muzzle, and pale cheeks.",pass,3,3,2,0.7126497824986776,0.4343345096955697,0,1,rejected,high_confidence_wrong_class
slot_06__fox__r13__c961,fox,head_face_ears,Black ear tips and pale cheeks frame the slim snout of a red hunter.,borderline,1,3,0,0.3619906008243561,-0.07371830940246582,0,0,borderline,stage1_borderline
slot_06__fox__r13__c962,fox,head_face_ears,"Tall ears, white cheeks, and a pointed black nose identify an orange hunter.",pass,3,3,2,0.5786997005343437,0.2856465131044388,0,1,rejected,high_confidence_wrong_class
slot_06__fox__r13__c963,fox,head_face_ears,"A red hunter shows sharp ears, pale cheeks, and a narrow black snout.",pass,3,3,2,0.40596626202265423,0.00455784797668457,0,0,borderline,ambiguous_or_below_margin
slot_06__fox__r13__c964,fox,head_face_ears,"A red hunter has alert ears, pale cheeks, and a slender muzzle.",reject,1,3,0,0.03513377904891968,-0.9141702651977539,0,1,reject,stage1_reject
slot_06__fox__r14__c1041,fox,head_face_ears,Black ear tips and pale cheeks frame the slim snout of a red hunter.,borderline,1,3,0,0.3619906008243561,-0.07371830940246582,0,0,borderline,stage1_borderline
