representation,sample_index,candidate_id,true_concept,predicted_cluster,matched_predicted_concept,facet_id,source,round,effective_token_length,description
raw,15,round1__codex_diverse__bear__habitat_scene__09,bear,3,bear,habitat_scene,codex_diverse,round1,24,A curious river hunter energetically occupies the active river crowded among focused berry thickets past windy pasture.
raw,16,round1__codex_diverse__bear__habitat_scene__12,bear,1,fox,habitat_scene,codex_diverse,round1,25,A curious berry gatherer moves patiently through that muted woodland trail near natural migrating fish inside sunlit trailhead.
raw,17,round1__codex_diverse__bear__habitat_scene__14,bear,1,fox,habitat_scene,codex_diverse,round1,24,A curious mountain roamer forages swiftly around that delicate woodland trail within steady broad tracks near frosted hallway.
raw,18,round1__codex_diverse__bear__habitat_scene__18,bear,1,fox,habitat_scene,codex_diverse,round1,23,A wary timberland giant emerges knowingly across this clear clearing surrounded among strong fallen logs past golden campsite.
raw,19,round1__codex_diverse__bear__habitat_scene__19,bear,1,fox,habitat_scene,codex_diverse,round1,24,A wary river hunter forages discreetly around the textured river crowded near prominent broad tracks against cool courtyard.
raw,20,round1__codex_diverse__bear__human_interaction__01,bear,3,bear,human_interaction,codex_diverse,round1,22,A wary berry gatherer curiously approaches a natural distant hiker before balanced cover beyond cool field.
raw,21,round1__codex_diverse__bear__human_interaction__02,bear,3,bear,human_interaction,codex_diverse,round1,21,A wary honey seeker alertly approaches compact food containers beside visible cover against cool hedgerow.
raw,22,round1__codex_diverse__bear__human_interaction__08,bear,3,bear,human_interaction,codex_diverse,round1,20,A steady river hunter persistently approaches that sharp empty trail around active cover amid still deck.
raw,23,round1__codex_diverse__bear__human_interaction__09,bear,3,bear,human_interaction,codex_diverse,round1,25,A steady backcountry wanderer unhurriedly follows that familiar empty trail during compact barrier along pale workshop.
raw,24,round1__codex_diverse__bear__human_interaction__16,bear,1,fox,human_interaction,codex_diverse,round1,23,A graceful shaggy forager rhythmically approaches one striking ranger's observation during bright cover before grassy valley.
raw,25,round1__codex_diverse__bear__indirect_holistic__01,bear,3,bear,indirect_holistic,codex_diverse,round1,23,An intent backcountry wanderer quietly embodies a visible forest presence under soft climbing along dappled deck.
raw,26,round1__codex_diverse__bear__indirect_holistic__09,bear,1,fox,indirect_holistic,codex_diverse,round1,24,A cautious timberland giant persistently embodies this active solitary forager beside focused climbing under dusky orchard.
raw,27,round1__codex_diverse__bear__indirect_holistic__12,bear,1,fox,indirect_holistic,codex_diverse,round1,22,A cautious cave sleeper cautiously forms a striking forest presence beside bright silver movement against rainy hillside.
raw,28,round1__codex_diverse__bear__indirect_holistic__13,bear,3,bear,indirect_holistic,codex_diverse,round1,24,A cautious berry gatherer methodically becomes a distinct forest presence across muted fasting before mossy meadow.
raw,29,round2__codex_diverse__bear__indirect_holistic__05,bear,1,fox,indirect_holistic,codex_diverse,round2,31,An intent long-clawed wilderness-resident leisurely forms the clear giant waiting for silver movement across strong silver movement around sunlit stream.
raw,30,round1__codex_diverse__bear__movement__05,bear,3,bear,movement,codex_diverse,round1,23,An alert river hunter climbs nimbly past active shallow water using focused climbing strength near dusky gate.
raw,31,round1__codex_diverse__bear__movement__08,bear,3,bear,movement,codex_diverse,round1,23,An alert berry gatherer carefully crosses that recognizable fallen trunk along clear heavy gait across rainy terrace.
raw,32,round1__codex_diverse__bear__movement__09,bear,3,bear,movement,codex_diverse,round1,23,An alert honey seeker gracefully approaches that focused fallen trunk with subtle bulky frame beyond mossy window.
raw,33,round1__codex_diverse__bear__movement__13,bear,3,bear,movement,codex_diverse,round1,25,A watchful shaggy forager measuredly crosses familiar shallow water through compact heavy gait against cool brook.
raw,34,round1__codex_diverse__bear__movement__16,bear,1,fox,movement,codex_diverse,round1,25,A watchful backcountry wanderer climbs energetically past balanced forest ground through defined climbing strength against muted brook.
raw,35,round1__codex_diverse__bear__object_relationship__05,bear,1,fox,object_relationship,codex_diverse,round1,27,A calm timberland giant interacts energetically with a textured log opened beside prominent curved claws past russet copse.
raw,36,round1__codex_diverse__bear__object_relationship__06,bear,1,fox,object_relationship,codex_diverse,round1,24,A calm river hunter reaches acutely toward prominent river stones beneath sharp forceful scratching past tranquil foothill.
raw,37,round1__codex_diverse__bear__object_relationship__09,bear,1,fox,object_relationship,codex_diverse,round1,26,A calm berry gatherer reaches silently toward a recognizable log opened around clear forceful scratching beyond speckled stairway.
raw,38,round1__codex_diverse__bear__object_relationship__11,bear,3,bear,object_relationship,codex_diverse,round1,21,A calm mountain roamer rests smoothly against a striking log opened near bright scent beyond amber window.
raw,39,round2__codex_diverse__bear__object_relationship__02,bear,1,fox,object_relationship,codex_diverse,round2,28,A calm broad-muzzled river-hunter moves acutely around a focused log opened beneath subtle broad paws past tranquil pasture.
raw,40,round1__codex_diverse__bear__sounds__01,bear,1,fox,sounds,codex_diverse,round1,26,A restless backcountry wanderer prudently makes a soft warning rumble in dense woodland during quiet dense woodland inside crisp balcony.
raw,41,round1__codex_diverse__bear__sounds__05,bear,1,fox,sounds,codex_diverse,round1,24,A restless mountain roamer breaks restlessly silence using recognizable low grunts around clear smaller youngster across tranquil courtyard.
raw,42,round1__codex_diverse__bear__sounds__11,bear,1,fox,sounds,codex_diverse,round1,26,A patient backcountry wanderer breaks steadfastly silence using muted bawling notes through natural smaller youngster beyond amber valley.
raw,43,round2__codex_diverse__bear__sounds__06,bear,1,fox,sounds,codex_diverse,round2,23,A restless towering honey-seeker confidently makes this focused loud roar through subtle dense woodland amid tranquil kitchen.
raw,44,round3__codex_diverse__bear__sounds__01,bear,1,fox,sounds,codex_diverse,round3,25,A cautious bulky streamside-fisher tentatively releases graceful low grunts beside distinct dense woodland under muted barn.
raw,45,round1__codex_diverse__bear__visual_appearance__02,bear,3,bear,visual_appearance,codex_diverse,round1,26,A measured timberland giant measuredly presents a recognizable shaggy frame with clear pale muzzle amid wooden outcrop.
raw,46,round1__codex_diverse__bear__visual_appearance__08,bear,1,fox,visual_appearance,codex_diverse,round1,22,A measured mountain roamer patiently carries quiet massive shoulders alongside recognizable curved limbs amid shadowed outcrop.
raw,47,round1__codex_diverse__bear__visual_appearance__18,bear,3,bear,visual_appearance,codex_diverse,round1,21,An eager mountain roamer curiously carries subtle brown fur beside familiar curved limbs past crisp cabin.
raw,48,round2__codex_diverse__bear__visual_appearance__17,bear,3,bear,visual_appearance,codex_diverse,round2,22,An eager towering honey-seeker quietly reveals defined brown fur beneath delicate rounded ears against crisp thicket.
raw,49,round3__codex_diverse__bear__visual_appearance__13,bear,3,bear,visual_appearance,codex_diverse,round3,25,A curious towering honey-seeker swiftly carries that compact thick coat alongside visible short tail past mossy copse.
raw,50,round1__codex_diverse__cat__behavior_habits__05,cat,3,bear,behavior_habits,codex_diverse,round1,22,A wary room explorer waits quietly beside a nearby warm patch after textured grooming strokes beyond dusky stairway.
raw,51,round1__codex_diverse__cat__behavior_habits__06,cat,0,cat,behavior_habits,codex_diverse,round1,23,A steady whiskered prowler cautiously investigates natural moving string through balanced curling tightly across frosted terrace.
raw,52,round1__codex_diverse__cat__behavior_habits__16,cat,0,cat,behavior_habits,codex_diverse,round1,23,A graceful whiskered prowler settles confidently beside distinct dusty corners after muted paw taps amid muted hedge.
raw,53,round2__codex_diverse__cat__behavior_habits__12,cat,2,dog,behavior_habits,codex_diverse,round2,25,A steady long-tailed household-companion returns comfortably toward one balanced cardboard surface after defined repeated scratching amid cool kitchen.
raw,54,round3__codex_diverse__cat__behavior_habits__02,cat,0,cat,behavior_habits,codex_diverse,round3,25,A focused whiskered house-prowler settles smoothly beside one compact cardboard surface beside visible curling tightly before blue fireside.
raw,55,round1__codex_diverse__cat__body_parts__05,cat,0,cat,body_parts,codex_diverse,round1,25,A quiet room explorer responsively raises muted long whiskers around natural forward-facing eyes beside still hedgerow.
raw,56,round1__codex_diverse__cat__body_parts__06,cat,0,cat,body_parts,codex_diverse,round1,25,A nimble whiskered prowler attentively extends soft retractable claws above quiet small nose inside pale lane.
raw,57,round1__codex_diverse__cat__body_parts__16,cat,0,cat,body_parts,codex_diverse,round1,22,A restless whiskered prowler deliberately positions this compact balancing tail around visible toe pads near rocky corner.
raw,58,round2__codex_diverse__cat__body_parts__23,cat,0,cat,body_parts,codex_diverse,round2,28,A restless striped hearthside-prowler inquisitively raises prominent slit pupils near sharp forward-facing eyes before remote snowbank.
raw,59,round3__codex_diverse__cat__body_parts__05,cat,0,cat,body_parts,codex_diverse,round3,24,A calm purring room-explorer intently raises active pointed ears beside focused hind legs beyond dappled balcony.
raw,60,round1__codex_diverse__cat__function_ability__04,cat,0,cat,function_ability,codex_diverse,round1,22,A gentle whiskered prowler warily shows striking precise balance during bright household pests against rocky pond.
raw,61,round2__codex_diverse__cat__function_ability__11,cat,0,cat,function_ability,codex_diverse,round2,24,A gentle striped hearthside-prowler quietly performs one muted vertical jump during natural tiny movement around remote campsite.
raw,62,round3__codex_diverse__cat__function_ability__02,cat,0,cat,function_ability,codex_diverse,round3,27,An alert whiskered house-prowler watchfully performs one bright vertical jump across nearby wooden edge against shaded hedgerow.
raw,63,round3__codex_diverse__cat__function_ability__12,cat,0,cat,function_ability,codex_diverse,round3,25,A watchful whiskered house-prowler intently demonstrates textured landing posture during prominent furniture beside cool thicket.
raw,64,round3__codex_diverse__cat__function_ability__15,cat,0,cat,function_ability,codex_diverse,round3,26,A watchful purring room-explorer acutely shows focused precise balance across subtle complete stillness inside muted field.
raw,65,round1__codex_diverse__cat__habitat_scene__20,cat,0,cat,habitat_scene,codex_diverse,round1,27,An observant whiskered prowler moves restlessly through that strong dim hallway near graceful ceramic dishes under sunlit riverbank.
raw,66,round2__codex_diverse__cat__habitat_scene__03,cat,0,cat,habitat_scene,codex_diverse,round2,27,An intent purring room-explorer rests lightly within a steady sunny windowsill beside striking afternoon light beside russet pond.
raw,67,round2__codex_diverse__cat__habitat_scene__06,cat,2,dog,habitat_scene,codex_diverse,round2,27,An intent long-tailed household-companion discreetly occupies the textured quiet kitchen among prominent indoor plants inside breezy stairway.
raw,68,round2__codex_diverse__cat__habitat_scene__11,cat,0,cat,habitat_scene,codex_diverse,round2,27,A cautious pointed-eared lap-companion moves precisely through one visible cushioned chair within soft ceramic dishes along amber outcrop.
raw,69,round2__codex_diverse__cat__habitat_scene__13,cat,0,cat,habitat_scene,codex_diverse,round2,26,A cautious purring room-explorer emerges firmly across one defined cushioned chair near delicate moving leaves along dappled kitchen.
raw,70,fox_movement_cat_human__codex_diverse_r4__cat__human_interaction__05,cat,2,dog,human_interaction,codex_diverse,fox_movement_cat_human,18,Padded paws knead a blanket while the compact household pet rests beside its owner.
raw,71,round2__codex_diverse__cat__human_interaction__02,cat,0,cat,human_interaction,codex_diverse,round2,26,An observant purring room-explorer responds readily toward a compact offered hand beside visible lap around dusky grove.
raw,72,round2__codex_diverse__cat__human_interaction__05,cat,2,dog,human_interaction,codex_diverse,round2,29,An observant long-tailed household-companion accepts prudently attention from a recognizable offered hand around clear between rooms under rainy riverbank.
raw,73,round2__codex_diverse__cat__human_interaction__12,cat,0,cat,human_interaction,codex_diverse,round2,25,A swift purring room-explorer stays watchfully beside one subtle familiar voice around familiar upright tail across leafy shoreline.
raw,74,round2__codex_diverse__cat__human_interaction__25,cat,2,dog,human_interaction,codex_diverse,round2,26,A focused long-tailed household-companion stays acutely beside quiet nearby footsteps beside recognizable upright tail against grassy fence.
raw,75,round1__codex_diverse__cat__indirect_holistic__10,cat,0,cat,indirect_holistic,codex_diverse,round1,23,An eager whiskered prowler vigilantly completes one active small shadow beside focused as vibration amid muted deck.
raw,76,round2__codex_diverse__cat__indirect_holistic__03,cat,0,cat,indirect_holistic,codex_diverse,round2,25,A measured purring room-explorer solidly forms the soft domestic presence across quiet playful bursts beyond mossy fireside.
raw,77,round3__codex_diverse__cat__indirect_holistic__01,cat,0,cat,indirect_holistic,codex_diverse,round3,24,A restless purring room-explorer dexterously becomes one nearby small shadow under textured playful bursts against crisp hillside.
raw,78,round3__codex_diverse__cat__indirect_holistic__15,cat,0,cat,indirect_holistic,codex_diverse,round3,27,A curious striped hearthside-prowler smoothly forms the muted domestic presence beside natural nighttime windowsill along dappled bridge.
raw,79,round3__codex_diverse__cat__indirect_holistic__18,cat,0,cat,indirect_holistic,codex_diverse,round3,24,A curious whiskered house-prowler solidly completes the delicate domestic presence around steady pursuit near silver campsite.
raw,80,round1__codex_diverse__cat__movement__01,cat,0,cat,movement,codex_diverse,round1,23,A patient whiskered prowler gracefully crosses a bright narrow ledge with nearby silent steps amid copper yard.
raw,81,round2__codex_diverse__cat__movement__02,cat,2,dog,movement,codex_diverse,round2,24,A patient pointed-eared lap-companion gently approaches a muted narrow ledge using natural stalking posture past blue gate.
raw,82,round2__codex_diverse__cat__movement__04,cat,0,cat,movement,codex_diverse,round2,23,A patient purring room-explorer slowly circles a sharp narrow ledge over active onto furniture past drifting pasture.
raw,83,round2__codex_diverse__cat__movement__16,cat,1,fox,movement,codex_diverse,round2,27,A curious padded-paw windowsill-watcher intently approaches this recognizable floor along clear stalking posture beside amber thicket.
raw,84,round3__codex_diverse__cat__movement__24,cat,0,cat,movement,codex_diverse,round3,24,A focused striped hearthside-prowler patiently approaches the strong room using graceful silent steps against copper thicket.
raw,85,round1__codex_diverse__cat__object_relationship__06,cat,0,cat,object_relationship,codex_diverse,round1,23,An active eared silhouette interacts deliberately with the clear scratching post against strong alternating paws along misty workshop.
raw,86,round1__codex_diverse__cat__object_relationship__09,cat,0,cat,object_relationship,codex_diverse,round1,23,A vigilant whiskered prowler rests slowly against the soft scratching post beside quiet settling nearby against quiet hillside.
raw,87,round1__codex_diverse__cat__object_relationship__11,cat,0,cat,object_relationship,codex_diverse,round1,21,A vigilant striped shadow reaches watchfully toward active curtain folds beside focused body before silver trailhead.
raw,88,round1__codex_diverse__cat__object_relationship__19,cat,0,cat,object_relationship,codex_diverse,round1,24,A measured whiskered prowler interacts smoothly with natural curtain folds beneath balanced alternating paws amid rainy trail.
raw,89,round2__codex_diverse__cat__object_relationship__01,cat,0,cat,object_relationship,codex_diverse,round2,30,An active slit-eyed indoor-hunter interacts readily with a striking yarn strand beside bright alternating paws near speckled woodland.
raw,90,round1__codex_diverse__cat__sounds__12,cat,0,cat,sounds,codex_diverse,round1,25,A lively eared silhouette steadfastly produces one striking warning hiss under bright flattened ears before shadowed porch.
raw,91,round1__codex_diverse__cat__sounds__25,cat,0,cat,sounds,codex_diverse,round1,25,An intent whiskered prowler alertly makes one recognizable warning hiss beside clear relaxed contact under russet yard.
raw,92,round2__codex_diverse__cat__sounds__15,cat,0,cat,sounds,codex_diverse,round2,24,A calm whiskered house-prowler silently makes prominent chirping notes through sharp relaxed contact against narrow slope.
raw,93,round2__codex_diverse__cat__sounds__21,cat,2,dog,sounds,codex_diverse,round2,27,A calm long-tailed household-companion energetically produces that sharp rising trill around active flattened ears under blue deck.
raw,94,round3__codex_diverse__cat__sounds__05,cat,0,cat,sounds,codex_diverse,round3,25,A solitary purring room-explorer comfortably makes one visible warning hiss around soft familiar greeting along windy veranda.
raw,95,round1__codex_diverse__cat__visual_appearance__03,cat,0,cat,visual_appearance,codex_diverse,round1,22,An alert striped shadow gently reveals a prominent compact coat alongside sharp slit-shaped eyes near misty stream.
raw,96,round1__codex_diverse__cat__visual_appearance__05,cat,0,cat,visual_appearance,codex_diverse,round1,23,An alert indoor hunter slowly carries a clear compact coat around strong pale whiskers near dappled ravine.
raw,97,round1__codex_diverse__cat__visual_appearance__14,cat,0,cat,visual_appearance,codex_diverse,round1,25,A watchful windowsill watcher swiftly carries natural smooth fur with balanced pale whiskers before dusky field.
raw,98,round1__codex_diverse__cat__visual_appearance__21,cat,0,cat,visual_appearance,codex_diverse,round1,25,A quiet whiskered prowler quietly reveals that recognizable neat face with clear slit-shaped eyes under golden veranda.
raw,99,round1__codex_diverse__cat__visual_appearance__23,cat,0,cat,visual_appearance,codex_diverse,round1,23,A quiet striped shadow alertly carries that striking neat face beneath bright pale whiskers under cool outcrop.
raw,100,round1__codex_diverse__dog__behavior_habits__03,dog,2,dog,behavior_habits,codex_diverse,round1,23,A cautious family companion returns cautiously toward a graceful buried object beside distinct it back before warm plaza.
raw,101,round1__codex_diverse__dog__behavior_habits__09,dog,2,dog,behavior_habits,codex_diverse,round1,24,An observant gate watcher returns inquisitively toward one defined thrown ball after delicate it back inside remote balcony.
raw,102,round2__codex_diverse__dog__behavior_habits__04,dog,2,dog,behavior_habits,codex_diverse,round2,27,An observant wagging household-companion restlessly examines a compact buried object around visible person's chair against shadowed room.
raw,103,round2__codex_diverse__dog__behavior_habits__12,dog,2,dog,behavior_habits,codex_diverse,round2,24,An observant playful backyard-digger waits deliberately beside this delicate floor beside steady persistent sniffing across blue hillside.
raw,104,round2__codex_diverse__dog__behavior_habits__14,dog,2,dog,behavior_habits,codex_diverse,round2,24,A swift wagging household-companion returns calmly toward nearby new surroundings through textured it back amid drifting hedge.
raw,105,round1__codex_diverse__dog__body_parts__06,dog,2,dog,body_parts,codex_diverse,round1,22,A graceful home guardian inquisitively extends the quiet wagging tail above recognizable ground inside clear porch.
raw,106,round1__codex_diverse__dog__body_parts__12,dog,2,dog,body_parts,codex_diverse,round1,19,A lively trail helper slowly turns focused floppy ears beside subtle visible teeth against quiet clearing.
raw,107,round2__codex_diverse__dog__body_parts__19,dog,2,dog,body_parts,codex_diverse,round2,25,A lively tongue-out family-companion gracefully uses muted padded paws above natural familiar call across sunlit hillside.
raw,108,round2__codex_diverse__dog__body_parts__20,dog,2,dog,body_parts,codex_diverse,round2,23,A calm wagging household-companion silently turns soft padded paws alongside quiet visible teeth beyond dusky meadow.
raw,109,round3__codex_diverse__dog__body_parts__12,dog,2,dog,body_parts,codex_diverse,round3,26,An active broad-pawed gate-watcher dexterously uses bright padded paws beside nearby broad hindquarters before warm crossing.
raw,110,round1__codex_diverse__dog__function_ability__10,dog,2,dog,function_ability,codex_diverse,round1,24,An eager ball chaser discreetly performs striking herding pressure along bright command before speckled snowbank.
raw,111,round1__codex_diverse__dog__function_ability__11,dog,2,dog,function_ability,codex_diverse,round1,21,An eager gate watcher responsively uses distinct herding pressure through muted strangers approach against clear clearing.
raw,112,round1__codex_diverse__dog__function_ability__14,dog,2,dog,function_ability,codex_diverse,round1,21,An eager backyard digger alertly demonstrates focused herding pressure around subtle broken ground beyond misty field.
raw,113,round3__codex_diverse__dog__function_ability__05,dog,2,dog,function_ability,codex_diverse,round3,25,A patient wagging household-companion nimbly demonstrates recognizable steady guidance across clear around livestock past cloudy foothill.
raw,114,round3__codex_diverse__dog__function_ability__15,dog,2,dog,function_ability,codex_diverse,round3,27,A curious wagging household-companion solidly performs soft of a thrown object through quiet broken ground beside wooden hedgerow.
raw,115,round1__codex_diverse__dog__habitat_scene__01,dog,2,dog,habitat_scene,codex_diverse,round1,23,A gentle family companion alertly occupies a recognizable fenced backyard near clear scattered toys against rainy room.
raw,116,round2__codex_diverse__dog__habitat_scene__02,dog,2,dog,habitat_scene,codex_diverse,round2,25,A solitary wagging household-companion rests precisely within a striking fenced backyard beside bright floor bed around rainy corner.
raw,117,round2__codex_diverse__dog__habitat_scene__12,dog,2,dog,habitat_scene,codex_diverse,round2,24,An active wagging household-companion emerges eagerly across one delicate family room near steady alert watcher across still room.
raw,118,round3__codex_diverse__dog__habitat_scene__05,dog,1,fox,habitat_scene,codex_diverse,round3,34,A quiet broad-pawed gate-watcher curiously occupies that balanced field suited to running and retrieval within defined retrieval under russet riverbank.
raw,119,round3__codex_diverse__dog__habitat_scene__10,dog,2,dog,habitat_scene,codex_diverse,round3,28,A quiet wagging household-companion moves leisurely through the prominent neighborhood path among sharp scattered toys across speckled room.
raw,120,round1__codex_diverse__dog__human_interaction__04,dog,2,dog,human_interaction,codex_diverse,round1,21,An active backyard digger confidently follows the soft handler's gesture around quiet pace around wooden hallway.
raw,121,round1__codex_diverse__dog__human_interaction__09,dog,2,dog,human_interaction,codex_diverse,round1,24,A vigilant leash follower accepts nimbly attention from natural at play beside balanced careful sniffing beyond warm ledge.
raw,122,round1__codex_diverse__dog__human_interaction__11,dog,2,dog,human_interaction,codex_diverse,round1,26,A vigilant gate watcher responds steadfastly toward this active walking partner around focused sitting attentively beyond shadowed lane.
raw,123,round2__codex_diverse__dog__human_interaction__15,dog,2,dog,human_interaction,codex_diverse,round2,26,A vigilant tongue-out family-companion stays calmly beside that recognizable offered palm beside clear soft ball beside remote fence.
raw,124,round3__codex_diverse__dog__human_interaction__14,dog,2,dog,human_interaction,codex_diverse,round3,28,A restless wagging household-companion stays rhythmically beside a visible returning person beside soft sitting attentively across rainy shoreline.
raw,125,dog_indirect_fox_body__codex_diverse_r6__dog__indirect_holistic__07,dog,2,dog,indirect_holistic,codex_diverse,dog_indirect_fox_body,25,The tongue-out home guardian fills the porch with watchful calm and unmistakable tail-wagging welcome.
raw,126,round1__codex_diverse__dog__indirect_holistic__13,dog,2,dog,indirect_holistic,codex_diverse,round1,24,A watchful ball chaser acutely embodies that muted home companion across natural watchfulness beside grassy slope.
raw,127,round2__codex_diverse__dog__indirect_holistic__03,dog,2,dog,indirect_holistic,codex_diverse,round2,26,An alert panting ball-chaser steadfastly completes a nearby figure waiting around textured rear body around cloudy foothill.
raw,128,round2__codex_diverse__dog__indirect_holistic__15,dog,2,dog,indirect_holistic,codex_diverse,round2,26,A watchful floppy-eared home-guardian patiently creates a sharp figure waiting within active household door beside rocky thicket.
raw,129,round3__codex_diverse__dog__indirect_holistic__07,dog,2,dog,indirect_holistic,codex_diverse,round3,26,A graceful wagging household-companion inquisitively creates that soft home companion under quiet rear body beside misty thicket.
raw,130,round1__codex_diverse__dog__movement__09,dog,2,dog,movement,codex_diverse,round1,21,An intent ball chaser leisurely circles visible open grass with soft tail movement beyond cloudy lane.
raw,131,round2__codex_diverse__dog__movement__05,dog,2,dog,movement,codex_diverse,round2,23,An intent wagging household-companion alertly circles the balanced footpath along defined tail movement under leafy path.
raw,132,round2__codex_diverse__dog__movement__20,dog,2,dog,movement,codex_diverse,round2,26,A cautious broad-pawed gate-watcher comfortably crosses soft rough ground along quiet bounding gait along grassy deck.
raw,133,round3__codex_diverse__dog__movement__02,dog,2,dog,movement,codex_diverse,round3,26,A vigilant wagging household-companion observantly approaches focused open grass through subtle bounding gait inside verdant stairway.
raw,134,round3__codex_diverse__dog__movement__12,dog,2,dog,movement,codex_diverse,round3,25,A measured wagging household-companion measuredly traverses sharp rough ground with active leash near misty hallway.
raw,135,round1__codex_diverse__dog__object_relationship__03,dog,3,bear,object_relationship,codex_diverse,round1,22,A poised ball chaser rests persistently against a delicate tennis ball near steady loose soil past silver stream.
raw,136,round1__codex_diverse__dog__object_relationship__11,dog,1,fox,object_relationship,codex_diverse,round1,26,An attentive trail helper rests rhythmically against one textured food bowl against prominent loose soil along frosted farmyard.
raw,137,round1__codex_diverse__dog__object_relationship__17,dog,2,dog,object_relationship,codex_diverse,round1,23,An attentive backyard digger interacts restlessly with that visible buried toy near soft jaws along cool trail.
raw,138,round2__codex_diverse__dog__object_relationship__09,dog,2,dog,object_relationship,codex_diverse,round2,28,An attentive wagging household-companion positions purposefully itself near one steady food bowl beneath striking walking person beside dusky slope.
raw,139,round3__codex_diverse__dog__object_relationship__08,dog,2,dog,object_relationship,codex_diverse,round3,26,A wary wagging household-companion reaches knowingly toward that prominent buried toy beside sharp walking person amid narrow outcrop.
raw,140,round1__codex_diverse__dog__sounds__04,dog,2,dog,sounds,codex_diverse,round1,21,A focused yard guardian answers smoothly with a recognizable resonant warning through clear yard amid clear kitchen.
raw,141,round1__codex_diverse__dog__sounds__21,dog,2,dog,sounds,codex_diverse,round1,22,A gentle backyard digger curiously produces active breathy whines around focused movement approaches inside golden meadow.
raw,142,round2__codex_diverse__dog__sounds__03,dog,2,dog,sounds,codex_diverse,round2,28,A focused wagging household-companion swiftly produces a balanced resonant warning beside defined movement approaches past speckled foothill.
raw,143,round3__codex_diverse__dog__sounds__09,dog,2,dog,sounds,codex_diverse,round3,25,An alert wagging household-companion watchfully releases a compact resonant warning during visible gate near warm copse.
raw,144,round3__codex_diverse__dog__sounds__19,dog,2,dog,sounds,codex_diverse,round3,27,A watchful wagging household-companion intently makes a focused resonant warning under subtle closed door inside verdant porch.
raw,145,round1__codex_diverse__dog__visual_appearance__06,dog,2,dog,visual_appearance,codex_diverse,round1,23,A wary gate watcher leisurely displays the familiar sturdy coat with compact moving tongue under shadowed kitchen.
raw,146,round1__codex_diverse__dog__visual_appearance__11,dog,2,dog,visual_appearance,codex_diverse,round1,22,A steady household companion cautiously reveals one compact broad chest around visible folded ears amid remote bridge.
raw,147,round1__codex_diverse__dog__visual_appearance__16,dog,2,dog,visual_appearance,codex_diverse,round1,22,A steady gate watcher tentatively shows subtle strong legs alongside familiar friendly muzzle amid drifting veranda.
