variant,group,role,concept,sample_index,prompt,seed,seed_source,image_path,prediction,correct
identity_B,dogs,target,labrador retriever,0,an image of a labrador retriever,20114,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/identity_B/images/labrador_retriever/0000.png,chihuahua,0
identity_B,dogs,target,labrador retriever,1,an image of a labrador retriever,55514,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/identity_B/images/labrador_retriever/0001.png,canoe,0
identity_B,dogs,retain,german shepherd,0,an image of a german shepherd,87957,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/identity_B/images/german_shepherd/0000.png,german shepherd,1
identity_B,dogs,retain,german shepherd,1,an image of a german shepherd,96454,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/identity_B/images/german_shepherd/0001.png,german shepherd,1
identity_B,dogs,retain,chesapeake bay retriever,0,an image of a Chesapeake Bay retriever,87957,project-derived:same-group-retain-seed-reuse,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/identity_B/images/chesapeake_bay_retriever/0000.png,rhodesian ridgeback,0
identity_B,dogs,retain,chesapeake bay retriever,1,an image of a Chesapeake Bay retriever,96454,project-derived:same-group-retain-seed-reuse,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/identity_B/images/chesapeake_bay_retriever/0001.png,vizsla,0
identity_B,dogs,retain,pug,0,an image of a pug,87957,project-derived:same-group-retain-seed-reuse,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/identity_B/images/pug/0000.png,pug,1
identity_B,dogs,retain,pug,1,an image of a pug,96454,project-derived:same-group-retain-seed-reuse,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/identity_B/images/pug/0001.png,jersey,0
official,dogs,target,golden retriever,0,an image of a golden retriever,48273,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/official/images/golden_retriever/0000.png,labrador retriever,0
official,dogs,target,golden retriever,1,an image of a golden retriever,51933,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/official/images/golden_retriever/0001.png,shield,0
official,dogs,target,labrador retriever,0,an image of a labrador retriever,20114,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/official/images/labrador_retriever/0000.png,french bulldog,0
official,dogs,target,labrador retriever,1,an image of a labrador retriever,55514,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/official/images/labrador_retriever/0001.png,canoe,0
official,dogs,retain,german shepherd,0,an image of a german shepherd,87957,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/official/images/german_shepherd/0000.png,german shepherd,1
official,dogs,retain,german shepherd,1,an image of a german shepherd,96454,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/official/images/german_shepherd/0001.png,german shepherd,1
official,dogs,retain,chesapeake bay retriever,0,an image of a Chesapeake Bay retriever,87957,project-derived:same-group-retain-seed-reuse,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/official/images/chesapeake_bay_retriever/0000.png,rhodesian ridgeback,0
official,dogs,retain,chesapeake bay retriever,1,an image of a Chesapeake Bay retriever,96454,project-derived:same-group-retain-seed-reuse,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/official/images/chesapeake_bay_retriever/0001.png,vizsla,0
official,dogs,retain,pug,0,an image of a pug,87957,project-derived:same-group-retain-seed-reuse,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/official/images/pug/0000.png,pug,1
official,dogs,retain,pug,1,an image of a pug,96454,project-derived:same-group-retain-seed-reuse,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/official/images/pug/0001.png,pillow,0
shuffled,dogs,target,golden retriever,0,an image of a golden retriever,48273,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled/images/golden_retriever/0000.png,labrador retriever,0
shuffled,dogs,target,golden retriever,1,an image of a golden retriever,51933,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled/images/golden_retriever/0001.png,shield,0
shuffled,dogs,target,labrador retriever,0,an image of a labrador retriever,20114,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled/images/labrador_retriever/0000.png,french bulldog,0
shuffled,dogs,target,labrador retriever,1,an image of a labrador retriever,55514,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled/images/labrador_retriever/0001.png,canoe,0
shuffled,dogs,retain,german shepherd,0,an image of a german shepherd,87957,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled/images/german_shepherd/0000.png,german shepherd,1
shuffled,dogs,retain,german shepherd,1,an image of a german shepherd,96454,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled/images/german_shepherd/0001.png,german shepherd,1
shuffled,dogs,retain,chesapeake bay retriever,0,an image of a Chesapeake Bay retriever,87957,project-derived:same-group-retain-seed-reuse,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled/images/chesapeake_bay_retriever/0000.png,rhodesian ridgeback,0
shuffled,dogs,retain,chesapeake bay retriever,1,an image of a Chesapeake Bay retriever,96454,project-derived:same-group-retain-seed-reuse,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled/images/chesapeake_bay_retriever/0001.png,vizsla,0
shuffled,dogs,retain,pug,0,an image of a pug,87957,project-derived:same-group-retain-seed-reuse,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled/images/pug/0000.png,pug,1
shuffled,dogs,retain,pug,1,an image of a pug,96454,project-derived:same-group-retain-seed-reuse,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled/images/pug/0001.png,pillow,0
shuffled_alt1,dogs,target,golden retriever,0,an image of a golden retriever,48273,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled_alt1/images/golden_retriever/0000.png,labrador retriever,0
shuffled_alt1,dogs,target,golden retriever,1,an image of a golden retriever,51933,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled_alt1/images/golden_retriever/0001.png,shield,0
shuffled_alt1,dogs,target,labrador retriever,0,an image of a labrador retriever,20114,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled_alt1/images/labrador_retriever/0000.png,french bulldog,0
shuffled_alt1,dogs,target,labrador retriever,1,an image of a labrador retriever,55514,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled_alt1/images/labrador_retriever/0001.png,canoe,0
shuffled_alt1,dogs,retain,german shepherd,0,an image of a german shepherd,87957,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled_alt1/images/german_shepherd/0000.png,german shepherd,1
shuffled_alt1,dogs,retain,german shepherd,1,an image of a german shepherd,96454,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled_alt1/images/german_shepherd/0001.png,german shepherd,1
shuffled_alt1,dogs,retain,chesapeake bay retriever,0,an image of a Chesapeake Bay retriever,87957,project-derived:same-group-retain-seed-reuse,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled_alt1/images/chesapeake_bay_retriever/0000.png,rhodesian ridgeback,0
shuffled_alt1,dogs,retain,chesapeake bay retriever,1,an image of a Chesapeake Bay retriever,96454,project-derived:same-group-retain-seed-reuse,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled_alt1/images/chesapeake_bay_retriever/0001.png,vizsla,0
shuffled_alt1,dogs,retain,pug,0,an image of a pug,87957,project-derived:same-group-retain-seed-reuse,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled_alt1/images/pug/0000.png,pug,1
shuffled_alt1,dogs,retain,pug,1,an image of a pug,96454,project-derived:same-group-retain-seed-reuse,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled_alt1/images/pug/0001.png,jersey,0
shuffled_alt2,dogs,target,golden retriever,0,an image of a golden retriever,48273,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled_alt2/images/golden_retriever/0000.png,labrador retriever,0
shuffled_alt2,dogs,target,golden retriever,1,an image of a golden retriever,51933,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled_alt2/images/golden_retriever/0001.png,shield,0
shuffled_alt2,dogs,target,labrador retriever,0,an image of a labrador retriever,20114,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled_alt2/images/labrador_retriever/0000.png,french bulldog,0
shuffled_alt2,dogs,target,labrador retriever,1,an image of a labrador retriever,55514,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled_alt2/images/labrador_retriever/0001.png,canoe,0
shuffled_alt2,dogs,retain,german shepherd,0,an image of a german shepherd,87957,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled_alt2/images/german_shepherd/0000.png,german shepherd,1
shuffled_alt2,dogs,retain,german shepherd,1,an image of a german shepherd,96454,public-repo:imagenet-15.csv,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled_alt2/images/german_shepherd/0001.png,german shepherd,1
shuffled_alt2,dogs,retain,chesapeake bay retriever,0,an image of a Chesapeake Bay retriever,87957,project-derived:same-group-retain-seed-reuse,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled_alt2/images/chesapeake_bay_retriever/0000.png,rhodesian ridgeback,0
shuffled_alt2,dogs,retain,chesapeake bay retriever,1,an image of a Chesapeake Bay retriever,96454,project-derived:same-group-retain-seed-reuse,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled_alt2/images/chesapeake_bay_retriever/0001.png,vizsla,0
shuffled_alt2,dogs,retain,pug,0,an image of a pug,87957,project-derived:same-group-retain-seed-reuse,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled_alt2/images/pug/0000.png,pug,1
shuffled_alt2,dogs,retain,pug,1,an image of a pug,96454,project-derived:same-group-retain-seed-reuse,/home/tslin/Documents/jupyter_data/anLi/machine_unlearning/experiments/scapre_informax_specificity/analysis/alpha_channel_controls/runs/smoke_20260825T185142Z/seeds/20260820/evaluation/shuffled_alt2/images/pug/0001.png,jersey,0
